"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","01 Sep 2026 15:16:06 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-09 15:16:06,,1028680,11918876,137256,3089652,,,,,,,1.680,1.410,1.200,3,0,,,,11,2,0,9,0
01-09 15:16:07,36.936,34.705,27.268,0.248,0,1069568,11859924,137932,3104776,54269.922,563238.341,7.932,1066.916,0.992,6.941,5394,2736,1.680,1.410,1.200,6,0,146.751,0,0,11,2,0,9,0
01-09 15:16:08,50.413,29.948,18.718,0.250,0,1090596,11835336,138092,3107692,60686.265,33875.536,0,22968.360,0,69.879,5201,2397,1.940,1.470,1.220,4,0,132.771,0,0,11,2,0,9,0
01-09 15:16:09,40.610,29.580,29.329,0,0,1116980,11807128,138160,3109156,66431.959,35874.181,0,469.271,0,6.016,5102,2634,1.940,1.470,1.220,2,0,175.475,0,0,11,3,0,9,0
01-09 15:16:10,15.241,22.987,58.967,0,0,1056348,11867972,138160,3108936,307519.024,39428.822,0,11.993,0,2.998,4839,2543,1.940,1.470,1.220,2,0,123.930,0,0,11,3,0,9,0
01-09 15:16:11,9.023,24.563,65.668,0,0,1060824,11863456,138188,3108944,51926.466,26143.693,0,212.542,0,8.020,4416,2328,1.940,1.470,1.220,2,0,129.330,0,0,11,4,0,9,0
01-09 15:16:12,11.229,23.455,63.878,0,0,1064564,11859708,138188,3108952,65861.084,32097.635,0,15.969,0,3.992,4334,2247,1.940,1.470,1.220,1,0,113.782,0,0,11,4,0,9,0
01-09 15:16:13,31.438,25.699,41.668,0,0,1052680,11871176,138228,3109208,52310.985,24311.125,0,5505.159,0,246.515,5576,5009,1.870,1.460,1.220,2,0,84.833,0,0,11,5,0,9,0
01-09 15:16:14,20.815,26.081,52.162,0,0,1058872,11864924,138260,3109264,69643.862,37255.008,0,654.037,0,15.047,4571,2299,1.870,1.460,1.220,2,0,116.362,0,0,11,5,0,9,0
01-09 15:16:15,25.909,23.169,49.826,0,0,1064356,11859236,138340,3109796,81131.950,593642.606,0,713.502,0,22.920,5457,4758,1.870,1.460,1.220,2,0,93.672,0,0,11,6,0,9,0
01-09 15:16:16,33.562,20.692,45.675,0,0,1059272,11863936,138420,3110032,58174.957,30779.210,0,1045.724,0,30.282,4627,3961,1.870,1.460,1.220,2,0,64.601,0,0,11,5,0,9,1
01-09 15:16:17,24.100,16.149,58.883,0.248,0,1217056,11705468,138468,3234856,51790.625,27198.699,0,651.942,0,17.889,4094,3146,1.870,1.460,1.220,1,0,15.901,0,0,12,5,0,9,1
