"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","04 Aug 2026 22:53:33 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
04-08 22:53:33,,1361444,11383388,155660,3257600,,,,,,,2.370,1.730,1.220,4,0,,,,11,13,0,9,6
04-08 22:53:34,27.994,24.245,44.991,0.250,0,1318720,11426028,155772,3257504,95395.283,42072.304,0,1063.780,0,33.993,6127,5331,2.370,1.730,1.220,2,0,134.972,0,0,11,12,0,9,6
04-08 22:53:35,26.982,24.234,45.720,0,0,1325764,11418732,155804,3257676,50819.931,28098.716,0,451.706,0,11.992,5893,4873,2.370,1.730,1.220,3,0,129.915,0,0,11,12,0,9,6
04-08 22:53:36,21.543,24.799,48.846,0,0,1326408,11417752,155868,3257892,71449.965,40283.476,0,817.613,0,24.047,6045,5169,2.370,1.730,1.220,1,0,139.275,0,0,11,12,0,9,6
04-08 22:53:37,20.925,26.405,49.074,0,0,1330232,11396608,155964,3274532,235828.242,46003.018,0,1179.769,0,27.900,6291,5306,2.420,1.760,1.230,2,0,135.514,0,0,11,12,0,9,6
04-08 22:53:38,32.777,26.021,40.033,0,0,1328048,11392340,156128,3280376,46290.963,24215.859,0,660.542,0,26.021,5897,5084,2.420,1.760,1.230,3,0,114.094,0,0,11,12,0,9,6
04-08 22:53:39,31.549,26.290,40.062,0.250,0,1326756,11381684,157004,3289600,60683.407,31362.274,0,1165.794,0,52.080,5923,5180,2.420,1.760,1.230,4,0,106.163,0,0,11,12,0,9,6
04-08 22:53:40,39.237,28.740,29.990,0.500,0,1344556,11354516,157356,3298144,57248.826,572970.101,0,2631.119,0,303.898,7248,7811,2.420,1.760,1.230,4,0,101.966,0,0,11,12,0,9,6
04-08 22:53:41,38.034,22.125,37.289,0,0,1330316,11358416,157580,3306448,51794.476,24900.885,0,175.008,0,6.961,6034,5189,2.420,1.760,1.230,6,0,75.572,0,0,11,12,0,9,6
04-08 22:53:42,28.755,26.255,40.757,1.750,0,1328344,11345648,157884,3319904,53670.682,29383.300,0,884.159,0,27.005,5949,5129,2.380,1.760,1.230,3,0,101.018,0,0,11,12,0,9,6
04-08 22:53:43,41.882,25.079,31.599,0.251,0,1323316,11336176,158916,3331352,45555.241,22811.728,0,2435.659,0,108.341,6876,7059,2.380,1.760,1.230,4,0,65.205,0,0,11,12,0,9,6
04-08 22:53:44,41.613,28.076,28.577,0,0,1334128,11318064,159492,3336996,45125.284,22771.709,0,11643.553,0,67.182,6500,6949,2.380,1.760,1.230,3,0,62.168,0,0,11,12,0,9,6
04-08 22:53:45,29.420,15.209,53.355,0.249,0,1469760,11159928,160144,3481884,45672.899,23767.420,0,1148.878,0,36.900,5365,6116,2.380,1.760,1.230,3,0,7.978,0,0,12,12,0,9,6
04-08 22:53:46,36.995,19.747,40.745,0,0,1478344,11141656,160740,3489756,45914.008,24706.776,15.998,1279.833,1.000,42.994,5705,5222,2.380,1.760,1.230,3,0,72.990,0,0,12,14,0,9,6
04-08 22:53:47,42.010,13.584,43.016,0.503,0,1426364,11206484,161080,3476064,61516.669,33412.760,961.953,792.907,9.056,31.193,5206,4517,2.350,1.770,1.230,3,0,26.162,0,0,12,12,0,9,4
04-08 22:53:48,38.816,16.671,41.802,0,0,1455724,11177096,161080,3476092,60753.617,32860.560,0,15.925,0,3.981,5416,4613,2.350,1.770,1.230,7,0,51.755,0,0,12,12,0,9,4
04-08 22:53:49,30.569,29.316,38.337,0,0,1450512,11182292,161080,3476120,62664.395,601223.588,0,18465.666,0,308.697,7102,5667,2.350,1.770,1.230,3,0,136.308,0,0,12,15,0,9,4
04-08 22:53:50,33.327,13.030,48.110,3.007,0,1461132,11167708,161216,3480088,63797.523,33268.407,216.497,1543.545,16.037,39.090,5232,4997,2.350,1.770,1.230,2,0,36.083,0,0,12,13,0,11,4
04-08 22:53:51,41.121,10.966,42.866,3.489,0,1475260,11147976,161392,3484588,45162.842,23799.613,2097.444,1212.211,112.648,13.956,4959,4487,2.350,1.770,1.230,2,0,1.994,0,0,12,12,0,11,4
04-08 22:53:52,45.022,13.256,36.517,1.251,0,1503980,11117036,161460,3486168,44556.338,22730.886,952.456,1212.581,68.033,11.005,8521,13193,2.320,1.770,1.240,3,0,9.004,0,0,12,12,0,11,4
04-08 22:53:53,41.946,13.982,41.696,0.999,0,1548312,11070476,161568,3487888,15495.041,7837.904,111.856,0,4.994,0,4803,4227,2.320,1.770,1.240,2,0,6.991,0,0,12,12,0,11,4
04-08 22:53:54,47.640,12.788,36.858,0.501,0,1553504,11064344,161820,3488388,30751.362,15347.097,16.047,23641.470,1.003,176.519,7089,8355,2.320,1.770,1.240,5,0,6.018,0,0,12,14,0,11,4
04-08 22:53:55,37.427,24.539,30.735,1.735,0,1564988,11042476,166808,3493476,44510.438,23812.797,0,25896.838,0,2122.708,15616,23201,2.320,1.770,1.240,4,0,36.684,0,0,12,14,0,11,4
04-08 22:53:56,37.291,22.929,31.244,4.031,0,1550332,11048524,171864,3496732,30410.285,14936.547,0,35581.636,0,2592.227,14276,19105,2.320,1.770,1.240,2,1,34.267,0,0,12,14,0,11,4
04-08 22:53:57,42.966,15.557,33.336,4.445,0,1550128,11052064,175628,3490412,44339.047,26212.288,0,26700.225,0,1723.583,11424,16045,2.460,1.810,1.250,5,0,27.656,0,0,12,14,0,11,4
04-08 22:53:58,34.996,22.408,40.787,0,0,1437508,11164612,175660,3490448,45672.397,24095.561,0,604.252,0,28.198,5827,5039,2.460,1.810,1.250,5,0,103.730,0,0,12,12,0,11,4
04-08 22:53:59,44.619,12.713,41.379,0,0,1455800,11146320,175716,3490392,45624.061,23431.213,0,2660.190,0,35.895,5105,4500,2.460,1.810,1.250,4,0,25.924,0,0,12,12,0,11,4
04-08 22:54:00,28.445,11.328,58.149,0.252,0,1485652,11115984,176200,3490444,72607.104,604629.922,0,6540.872,0,281.934,5335,5621,2.460,1.810,1.250,2,0,25.173,0,0,12,12,0,11,4
