"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","24 Jul 2026 06:48:11 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
24-07 06:48:11,,1077928,11711744,152360,3216888,,,,,,,1.470,1.150,1.090,5,0,,,,11,5,0,9,1
24-07 06:48:12,22.544,26.013,48.805,0,0,1090188,11699200,152448,3217016,52553.626,29736.753,0,1791.657,0,257.650,5221,3845,1.470,1.150,1.090,2,0,139.725,0,0,11,4,0,9,2
24-07 06:48:13,23.648,23.150,51.776,0,0,1094316,11694900,152488,3217104,67268.977,37238.895,0,529.708,0,14.935,4473,2359,1.470,1.150,1.090,1,0,134.418,0,0,11,4,0,9,2
24-07 06:48:14,17.838,24.370,56.276,0.251,0,1098036,11690804,152600,3217284,92484.329,39711.081,0,1012.976,0,33.163,4452,2482,1.470,1.150,1.090,2,0,146.721,0,0,11,4,0,9,2
24-07 06:48:15,24.416,24.167,49.579,0,0,1110096,11678492,152640,3217460,61417.405,35375.126,0,554.091,0,16.942,4491,2305,1.470,1.150,1.090,3,0,125.567,0,0,11,4,0,9,2
24-07 06:48:16,21.228,25.474,52.446,0,0,1113288,11675028,152704,3217624,70142.977,38617.348,0,951.023,0,29.969,4313,2301,1.590,1.180,1.100,5,0,119.877,0,0,11,4,0,9,2
24-07 06:48:17,20.301,25.814,51.628,0,0,1114204,11665092,152772,3226328,192316.579,41006.043,0,986.455,0,27.067,4542,2417,1.590,1.180,1.100,2,0,124.309,0,0,11,4,0,9,2
24-07 06:48:18,37.381,24.085,37.381,0,0,1112732,11653344,152904,3239160,90502.547,25470.368,0,690.422,0,22.077,4787,3891,1.590,1.180,1.100,2,0,73.257,0,0,11,4,0,9,2
24-07 06:48:19,30.148,28.404,41.111,0,0,1110956,11642452,153544,3248872,53621.048,569027.738,0,1327.520,0,55.812,5233,3056,1.590,1.180,1.100,2,0,117.603,0,0,11,4,0,9,2
