"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","25 Jun 2026 08:37:54 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
25-06 08:37:54,,1076748,11688516,163636,3224160,,,,,,,1.620,1.320,0.850,3,0,,,,11,5,0,9,1
25-06 08:37:55,20.674,23.912,53.054,0.249,0,1081968,11682992,163700,3224300,70251.752,41191.990,0,1179.647,0,25.904,4516,2655,1.620,1.320,0.850,1,0,142.474,0,0,11,4,0,9,2
25-06 08:37:56,20.548,23.305,53.877,0,0,1080708,11683900,163812,3224456,92137.468,40021.461,0,1050.479,0,33.078,4466,2427,1.730,1.350,0.870,3,0,133.315,0,0,11,4,0,9,2
25-06 08:37:57,21.758,25.010,50.269,0.250,0,1103604,11660576,163876,3224744,70317.860,39785.197,0,876.335,0,25.010,4478,2443,1.730,1.350,0.870,3,0,142.054,0,0,11,4,0,9,2
25-06 08:37:58,19.749,24.998,51.747,0,0,1091328,11664004,163960,3233260,178558.213,37968.706,0,1143.931,0,27.998,4527,2495,1.730,1.350,0.870,3,0,131.992,0,0,11,4,0,9,2
25-06 08:37:59,27.991,27.491,42.987,0,0,1094560,11646504,164080,3246608,118552.041,590117.027,0,743.768,0,25.992,5132,2843,1.730,1.350,0.870,4,0,120.962,0,0,11,4,0,9,2
25-06 08:38:00,26.760,28.260,42.765,0.250,0,1089732,11638696,164744,3256616,60790.654,31927.373,0,1360.485,0,57.020,4675,2589,1.730,1.350,0.870,2,0,127.045,0,0,11,4,0,9,2
25-06 08:38:01,36.365,24.908,36.116,0,0,1081748,11636076,165044,3265928,44534.170,22871.348,0,1394.837,0,33.875,5116,5051,1.750,1.360,0.870,3,0,81.698,0,0,11,4,0,9,2
25-06 08:38:02,28.277,27.527,43.041,0,0,1072004,11636308,165100,3274044,61849.556,32523.317,0,12.012,0,3.003,4651,2343,1.750,1.360,0.870,3,0,122.118,0,0,11,4,0,9,2
25-06 08:38:03,34.213,26.222,37.959,0.250,0,1090920,11598136,165652,3291680,45424.520,23692.713,0,2093.765,0,78.916,4828,4361,1.750,1.360,0.870,2,0,89.904,0,0,11,4,0,9,2
25-06 08:38:04,38.123,24.579,36.116,0,0,1092452,11584528,166372,3301336,44663.910,22783.410,0,1725.560,0,67.217,4464,3784,1.750,1.360,0.870,2,0,63.204,0,0,11,4,0,9,2
25-06 08:38:05,26.947,20.210,50.651,0.250,0,1227636,11436408,166848,3436584,48064.901,24232.559,0,20683.507,0,390.236,4528,3573,1.750,1.360,0.870,3,0,13.973,0,0,12,4,0,9,2
25-06 08:38:06,28.035,17.772,51.565,0,0,1235220,11408552,167360,3454664,57254.023,30472.333,16.020,1341.688,1.001,42.053,3726,2311,1.850,1.390,0.880,5,0,67.084,0,0,12,6,0,9,2
25-06 08:38:07,38.806,14.521,45.816,0.250,0,1263672,11391264,167808,3442208,61279.347,34107.173,0,3609.203,0,479.692,4375,2054,1.850,1.390,0.880,2,0,31.045,0,0,12,4,0,9,0
25-06 08:38:08,46.679,21.583,30.116,0.251,0,1243192,11410924,167808,3443116,56228.753,573090.988,955.667,40.154,14.054,6.023,4735,15823,1.850,1.390,0.880,3,0,72.277,0,0,12,4,0,10,0
25-06 08:38:09,26.029,26.524,45.612,0,0,1253692,11400404,167820,3443128,60853.147,32995.215,0,428.355,0,2.975,4601,2665,1.850,1.390,0.880,2,0,155.675,0,0,12,6,0,11,0
25-06 08:38:10,30.119,13.805,53.461,1.255,0,1290372,11362288,167924,3444448,67246.639,35491.198,341.348,887.506,18.071,61.242,3459,2233,1.850,1.390,0.880,2,0,34.135,0,0,12,5,0,11,0
25-06 08:38:11,37.273,11.757,47.029,3.002,0,1281224,11361868,168136,3452544,44420.489,23180.345,2837.756,1617.001,177.110,17.011,3352,1872,1.860,1.400,0.890,2,0,4.002,0,0,12,4,0,11,0
25-06 08:38:12,41.369,13.790,41.620,0.251,0,1305656,11335392,168296,3453888,29956.070,15121.447,132.380,886.547,2.006,14.040,7629,13244,1.860,1.400,0.890,2,0,6.017,0,0,12,4,0,11,0
25-06 08:38:13,40.051,10.448,47.265,0.249,0,1322676,11317092,168332,3454920,15924.857,7325.593,111.446,1556.266,4.975,11.941,2890,1363,1.860,1.400,0.890,2,0,8.955,0,0,12,4,0,11,0
25-06 08:38:14,36.903,14.961,44.135,0.748,0,1309184,11324428,170760,3458436,15295.974,7276.958,15.958,12200.075,0.997,916.601,8402,11244,1.860,1.400,0.890,3,0,14.961,0,0,12,6,0,11,0
25-06 08:38:15,31.544,30.042,29.541,2.504,0,1316488,11307796,176068,3462112,45703.985,24097.737,0,66372.922,0,2653.715,17047,26152,1.860,1.400,0.890,6,0,50.070,0,0,12,6,0,11,0
25-06 08:38:16,34.348,20.559,38.861,1.254,0,1316372,11300488,180676,3464712,30155.005,14832.303,0,22287.567,0,1938.529,10059,15751,2.030,1.440,0.910,3,0,39.112,0,0,12,6,0,11,0
25-06 08:38:17,36.107,17.182,41.337,1.743,0,1246128,11377708,181908,3457380,44740.263,26433.580,0,17678.166,0,675.332,5276,4810,2.030,1.440,0.910,2,0,41.835,0,0,12,4,0,11,0
