"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","29 Jul 2026 10:24:33 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
29-07 10:24:33,,1078616,11728688,153476,3199144,,,,,,,1.470,1.240,0.840,4,1,,,,11,4,0,9,2
29-07 10:24:34,21.552,25.516,50.783,0,0,1084880,11712208,153556,3209016,190706.618,39948.914,0,971.077,0,23.781,5278,4282,1.440,1.240,0.840,2,0,137.734,0,0,11,4,0,9,2
29-07 10:24:35,16.738,23.983,57.959,0,0,1083172,11706584,153584,3215980,117346.263,596322.552,0,295.791,0,5.996,4674,2804,1.440,1.240,0.840,2,0,128.909,0,0,11,4,0,9,2
29-07 10:24:36,28.495,25.995,44.242,0,0,1082808,11697272,153984,3224284,61183.804,33425.883,0,1051.808,0,42.992,4777,2593,1.440,1.240,0.840,3,0,146.973,0,0,11,4,0,9,2
29-07 10:24:37,27.050,27.301,45.084,0,0,1111496,11656852,154760,3233400,46159.816,25862.081,0,581.080,0,25.047,4616,2370,1.440,1.240,0.840,4,0,132.246,0,0,11,4,0,9,2
29-07 10:24:38,28.034,26.533,44.054,0.250,0,1101080,11652180,155176,3246628,62814.088,32914.394,0,1421.745,0,35.043,4498,2403,1.440,1.240,0.840,2,0,121.149,0,0,11,4,0,9,2
29-07 10:24:39,27.616,29.357,40.553,0.249,0,1115064,11622196,155484,3260968,45013.110,23047.922,7.961,11269.200,1.990,58.714,4600,2340,1.480,1.250,0.850,2,0,118.424,0,0,11,4,0,9,2
29-07 10:24:40,35.830,25.131,37.323,0.249,0,1123292,11601784,156376,3270712,60037.147,30618.726,3.981,2428.478,0.995,102.514,4689,3930,1.480,1.250,0.850,4,0,79.622,0,0,11,4,0,9,2
29-07 10:24:41,29.515,28.001,42.632,0.252,0,1109684,11603660,157160,3279832,47106.188,24233.189,0,3644.665,0,438.934,5624,2709,1.480,1.250,0.850,3,0,123.103,0,0,11,4,0,9,2
29-07 10:24:42,34.498,25.499,38.998,0,0,1102180,11589292,157840,3299876,60399.480,31946.138,0,1383.919,0,42.997,4726,4020,1.480,1.250,0.850,2,0,108.994,0,0,11,4,0,9,2
29-07 10:24:43,40.447,23.719,35.454,0,0,1102472,11579508,158500,3307472,52370.970,453596.774,0,1254.371,0,41.946,5213,4126,1.480,1.250,0.850,3,0,60.921,0,0,11,4,0,9,2
29-07 10:24:44,27.126,25.881,44.048,1.244,0,1187272,11508688,158704,3417404,48232.752,152351.151,923.763,668.932,11.945,19.909,5246,3874,1.440,1.250,0.850,2,0,65.699,0,0,12,4,0,9,0
29-07 10:24:45,36.212,17.726,46.341,0,0,1217668,11478256,158704,3417440,62125.554,33934.918,16.207,16.207,1.013,4.052,3621,1983,1.440,1.250,0.850,3,0,52.672,0,0,12,4,0,9,0
29-07 10:24:46,34.670,13.868,49.281,0,0,1229448,11466472,158704,3417444,60434.526,33644.626,0,23.774,0,5.943,3372,1937,1.440,1.250,0.850,2,0,47.547,0,0,12,5,0,9,0
29-07 10:24:47,22.821,23.824,52.162,0,0,1221348,11468684,158756,3422540,67642.685,35408.286,0,1685.249,0,20.062,4530,2704,1.440,1.250,0.850,2,0,131.409,0,0,12,4,0,9,0
29-07 10:24:48,34.481,16.991,43.976,3.748,0,1228560,11459840,158832,3423904,47168.439,24436.758,215.883,427.768,15.991,14.992,3887,2400,1.440,1.250,0.850,2,0,50.972,0,0,12,4,0,11,0
29-07 10:24:49,37.468,18.734,34.471,4.746,0,1252900,11434292,158896,3424892,59758.874,30447.950,379.675,26037.724,20.982,99.915,8982,14685,1.490,1.260,0.860,3,0,4.996,0,0,12,4,0,11,0
29-07 10:24:50,34.692,13.575,48.519,3.771,0,1261184,11421920,159048,3428204,29997.434,14673.412,2602.439,88.491,160.893,1.006,3074,1836,1.490,1.260,0.860,2,0,7.039,0,0,12,4,0,11,0
29-07 10:24:51,39.268,14.415,40.760,1.740,0,1292452,11388912,159212,3429392,29674.939,14802.675,242.569,3061.937,6.959,15.906,7444,11956,1.490,1.260,0.860,3,0,10.935,0,0,12,4,0,11,0
29-07 10:24:52,37.794,13.766,47.805,0.250,0,1304100,11377096,159212,3429508,15337.661,7466.597,16.018,88.101,1.001,1.001,2955,1444,1.490,1.260,0.860,3,0,11.013,0,0,12,4,0,11,0
