"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","11 Aug 2026 23:59:58 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
11-08 23:59:58,,1307284,11459804,175936,3216244,,,,,,,1.930,1.580,1.130,5,0,,,,11,15,0,10,5
11-08 23:59:59,45.122,23.057,28.263,0,0,1317984,11448692,176000,3216532,69052.544,582242.529,0,829.055,0,24.792,6537,5298,1.930,1.580,1.130,2,0,127.928,0,0,11,15,0,10,5
12-08 00:00:00,47.493,24.626,24.123,0.251,0,1357896,11408372,176040,3216860,67615.102,38124.146,0,1588.129,0,227.163,6513,5077,1.930,1.580,1.130,4,0,126.648,0,0,11,14,0,10,6
12-08 00:00:01,33.855,26.833,37.366,0,0,1360192,11406164,176072,3216732,70303.676,39267.581,0,646.000,0,61.189,6162,5048,1.930,1.580,1.130,4,0,144.447,0,0,11,14,0,9,7
12-08 00:00:02,29.802,33.775,21.606,9.437,0,1321456,11441572,176476,3219300,76967.136,35146.263,6135.198,1978.840,121.194,41.723,6737,5798,2.340,1.670,1.160,4,1,194.705,0,0,11,14,0,9,6
12-08 00:00:03,34.487,41.484,18.243,1.749,0,1294432,11464892,176704,3222356,68659.612,36253.067,1143.560,2251.135,45.982,68.973,7900,8058,2.340,1.670,1.160,2,0,177.932,0,0,11,14,0,9,6
12-08 00:00:04,29.794,26.039,39.308,0,0,1299412,11459656,176768,3222508,51235.048,27368.623,0,781.159,0,27.040,5968,4897,2.340,1.670,1.160,2,0,141.210,0,0,11,14,0,9,6
12-08 00:00:05,28.639,25.429,39.995,0,0,1310100,11448676,176824,3223120,68283.355,37806.927,0,869.034,0,24.688,6451,7047,2.340,1.670,1.160,10,0,115.542,0,0,11,14,0,9,6
12-08 00:00:06,31.641,24.554,40.501,0,0,1302188,11439400,176892,3239236,219013.282,32392.411,0,1316.271,0,20.250,5627,4712,2.340,1.670,1.160,3,0,52.651,0,0,11,14,0,9,6
12-08 00:00:07,31.830,27.105,37.052,0,0,1307068,11426008,177212,3246752,63969.058,349597.251,3.979,8403.082,0.995,477.448,6991,5431,2.470,1.710,1.180,4,0,111.404,0,0,11,14,0,9,6
12-08 00:00:08,41.511,24.906,31.196,0,0,1304168,11418620,177964,3255144,51292.139,259642.678,0,732.601,0,31.196,6212,6090,2.470,1.710,1.180,2,0,78.493,0,0,11,14,0,9,6
12-08 00:00:09,41.828,25.740,28.710,0,0,1284004,11423932,178360,3267632,44246.558,22613.829,0,1203.853,0,31.680,6239,6649,2.470,1.710,1.180,5,0,65.341,0,0,11,14,0,9,6
12-08 00:00:10,29.261,12.360,55.242,0.252,0,1416324,11285200,178564,3397716,44980.595,23624.398,0,657.859,0,18.162,5162,6128,2.470,1.710,1.180,5,0,13.117,0,0,12,14,0,9,6
12-08 00:00:11,31.525,19.265,45.035,0.500,0,1429772,11252424,179336,3414788,45796.797,24355.037,16.013,12369.669,1.001,107.084,5656,5614,2.470,1.710,1.180,4,0,67.052,0,0,12,16,0,9,6
12-08 00:00:12,42.242,13.748,40.743,0,0,1432276,11239224,180156,3422904,60727.131,32786.132,0,1547.723,0,51.991,5367,5070,2.430,1.720,1.180,5,0,26.995,0,0,12,16,0,9,6
12-08 00:00:13,42.056,13.268,41.305,0.250,0,1438676,11217900,180780,3435748,61236.119,33770.736,0,1453.926,0,54.072,5477,5036,2.430,1.720,1.180,3,0,43.057,0,0,12,16,0,9,6
12-08 00:00:14,34.172,21.950,39.909,0,0,1448340,11192552,181256,3449556,45532.141,24665.737,0,925.888,0,26.939,5933,5156,2.430,1.720,1.180,4,0,115.736,0,0,12,16,0,10,6
12-08 00:00:15,39.346,14.285,40.849,2.506,0,1455980,11194440,181952,3438372,61528.449,32400.700,84.205,5878.278,7.017,362.881,5851,5100,2.430,1.720,1.180,3,0,32.078,0,0,12,14,0,11,4
12-08 00:00:16,41.752,10.250,41.252,4.250,0,1399048,11249908,182160,3439752,50882.209,351181.247,1648.072,2480.108,47.002,33.001,5004,4522,2.430,1.720,1.180,4,0,2.000,0,0,12,14,0,11,4
12-08 00:00:17,35.970,13.239,41.216,4.996,0,1459188,11186940,182184,3442452,50992.885,250475.132,2425.996,43.964,150.875,2.998,5086,4361,2.560,1.760,1.200,2,0,18.984,0,0,12,14,0,11,4
12-08 00:00:18,36.156,10.473,48.873,0.499,0,1497676,11147152,182336,3443372,35005.019,17597.263,131.658,1990.826,1.995,13.964,4396,3996,2.560,1.760,1.200,3,0,18.951,0,0,12,15,0,11,4
12-08 00:00:19,45.882,8.023,42.623,0.501,0,1508284,11130840,182384,3448012,17166.365,7756.304,112.323,1307.761,5.014,16.046,4450,3758,2.560,1.760,1.200,2,0,2.006,0,0,12,14,0,11,4
12-08 00:00:20,42.892,12.219,40.647,0.499,0,1533328,11101940,183740,3450128,15187.607,7425.230,15.960,5845.224,0.997,513.701,7161,9285,2.560,1.760,1.200,7,0,16.957,0,0,12,16,0,11,4
12-08 00:00:21,37.818,25.716,26.725,2.773,0,1531560,11092700,188472,3456196,45144.901,24395.290,0,65285.386,0,2569.624,16048,24326,2.560,1.760,1.200,2,0,37.314,0,0,12,16,0,11,4
12-08 00:00:22,37.935,19.966,32.195,3.744,0,1517112,11098748,193384,3459368,29537.130,14728.634,0,36792.634,0,2333.980,13094,19145,2.600,1.780,1.210,3,0,27.952,0,0,12,16,0,11,4
12-08 00:00:23,46.198,15.648,30.302,1.987,0,1537596,11075340,195636,3459924,60234.136,34786.535,0,14489.257,0,1185.250,13141,20481,2.600,1.780,1.210,3,0,28.812,0,0,12,16,0,11,4
12-08 00:00:24,32.765,23.761,38.518,0.750,0,1477420,11134752,196268,3459988,45307.969,24171.187,0,7755.589,0,363.168,6613,6316,2.600,1.780,1.210,7,0,81.038,0,0,12,14,0,11,4
12-08 00:00:25,42.858,12.532,42.858,0,0,1465404,11154084,196380,3453440,45102.074,23738.039,0,1267.205,0,53.134,4865,4448,2.600,1.780,1.210,2,0,5.013,0,0,12,14,0,11,4
12-08 00:00:26,44.785,12.077,41.263,0.252,0,1470004,11148924,196896,3453468,44695.738,22620.103,0,10329.807,0,328.090,5789,5450,2.600,1.780,1.210,2,0,9.058,0,0,12,14,0,11,4
12-08 00:00:27,44.725,11.244,41.227,0,0,1494160,11124736,196920,3453440,29900.230,14943.619,0,283.841,0,9.994,4975,4596,2.550,1.780,1.210,3,0,20.988,0,0,12,14,0,11,4
12-08 00:00:28,37.722,10.175,48.145,0,0,1488732,11130248,196924,3453452,15661.433,7468.886,0,3.971,0,0.993,4833,4665,2.550,1.780,1.210,1,0,49.634,0,0,12,14,0,11,4
12-08 00:00:29,26.512,6.753,62.278,0,0,1412020,11206960,196924,3453452,74779.255,489233.565,0,12.005,0,2.001,4686,4786,2.550,1.780,1.210,1,0,11.005,0,0,12,14,0,11,4
12-08 00:00:30,25.731,6.245,65.701,0,0,1442204,11176776,196924,3453452,48179.230,155064.873,0,0,0,0,3999,4593,2.550,1.780,1.210,2,0,2.998,0,0,12,14,0,11,4
12-08 00:00:31,24.749,6.250,66.499,0,0,1469596,11149384,196924,3453452,30316.345,14723.682,0,1775.962,0,3.000,3796,4485,2.550,1.780,1.210,1,0,0,0,0,12,14,0,11,4
12-08 00:00:32,27.242,3.749,66.230,0,0,1472560,11146408,196940,3453448,29757.999,14587.588,0,187.943,0,2.999,3738,4372,2.420,1.770,1.210,2,0,0,0,0,12,14,0,11,4
12-08 00:00:33,21.303,11.027,64.159,0,0,1431828,11187092,196964,3453468,31012.969,17541.535,0,128.318,0,10.025,4560,4904,2.420,1.770,1.210,3,0,50.124,0,0,12,14,0,11,4
