"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","01 Jul 2026 01:19:49 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-07 01:19:49,,1079748,11780560,145192,3151144,,,,,,,1.730,1.500,1.430,2,0,,,,11,4,0,9,2
01-07 01:19:50,28.463,27.214,43.443,0,0,1086804,11755984,145628,3167044,63512.045,152750.489,0,1338.252,0,53.930,4906,3079,1.730,1.500,1.430,3,0,133.825,0,0,11,4,0,9,2
01-07 01:19:51,27.833,25.827,45.135,0.251,0,1086760,11745524,146188,3175396,46248.697,25115.319,0,1560.680,0,68.205,4735,2499,1.730,1.500,1.430,2,0,126.379,0,0,11,4,0,9,2
01-07 01:19:52,27.346,28.601,43.152,0,0,1094360,11724772,146632,3186484,60840.856,33054.186,0,8080.403,0,69.243,4834,2617,1.910,1.540,1.450,3,0,137.483,0,0,11,4,0,9,2
01-07 01:19:53,28.004,30.504,40.755,0,0,1103296,11695548,147288,3204420,62501.067,35044.523,0,1524.197,0,49.006,4693,2471,1.910,1.540,1.450,2,0,131.017,0,0,11,4,0,9,2
01-07 01:19:54,28.849,29.342,40.191,0.247,0,1120400,11688276,147792,3193200,44910.549,24308.013,0,1562.278,0,50.301,4615,2474,1.910,1.540,1.450,4,0,119.341,0,0,11,2,0,9,0
01-07 01:19:55,31.971,32.223,32.978,2.014,0,1037048,11770944,147792,3193800,60585.710,31532.443,942.529,40.279,13.091,6.042,4981,14778,1.910,1.540,1.450,2,0,152.053,0,0,11,2,0,10,0
01-07 01:19:56,33.513,29.733,36.033,0,0,1065348,11742628,147792,3193812,49089.957,26217.595,0,4.032,0,1.008,5118,4640,1.910,1.540,1.450,2,0,132.035,0,0,11,2,0,10,0
01-07 01:19:57,26.201,30.443,42.670,0,0,1062448,11739220,147832,3199548,71298.516,460375.094,0,11789.927,0,40.923,4874,2855,1.920,1.550,1.450,4,0,115.783,0,0,11,3,0,10,0
01-07 01:19:58,31.517,30.767,36.520,0,0,1066992,11733768,147848,3200576,48997.882,141223.481,0,200.110,0,9.005,5251,4534,1.920,1.550,1.450,2,0,120.066,0,0,11,2,0,9,0
01-07 01:19:59,37.257,28.698,31.971,0,0,1047716,11752644,147848,3200924,45274.272,23036.893,0,0,0,0,8235,12584,1.920,1.550,1.450,2,0,68.472,0,0,11,2,0,9,0
01-07 01:20:00,30.387,23.662,44.584,0,0,1177232,11621840,147848,3326324,59002.938,30221.285,0,91.658,0,1.993,4465,3346,1.920,1.550,1.450,1,0,23.911,0,0,12,2,0,9,0
01-07 01:20:01,24.381,17.166,54.981,0,0,1183132,11615792,147852,3326460,29384.379,14909.129,0,3.981,0,0.995,6587,11001,1.920,1.550,1.450,4,0,57.718,0,0,12,4,0,9,0
01-07 01:20:02,29.813,24.301,44.594,0.251,0,1181400,11617380,147852,3326584,60865.749,33562.996,16.034,13051.608,1.002,438.928,4566,2187,2.160,1.610,1.470,2,0,49.104,0,0,12,4,0,9,0
01-07 01:20:03,36.949,15.978,46.436,0,0,1161460,11645504,147908,3319172,60484.875,32457.393,0,2604.421,0,21.970,3413,1897,2.160,1.610,1.470,3,0,25.964,0,0,12,4,0,9,0
01-07 01:20:04,27.984,24.986,44.974,0,0,1155060,11651872,147908,3319204,45640.961,24929.777,0,11.993,0,2.998,4483,2492,2.160,1.610,1.470,2,0,123.929,0,0,12,4,0,9,0
01-07 01:20:05,33.302,18.779,46.322,0.501,0,1168840,11637928,147996,3319296,60852.669,32758.963,12.019,933.452,3.005,26.041,4082,2485,2.160,1.610,1.470,1,1,74.115,0,0,12,4,0,11,0
01-07 01:20:06,19.251,14.001,62.504,3.250,0,1198948,11605700,148172,3321192,68233.705,478795.015,2084.144,256.018,106.007,7.000,3630,2612,2.160,1.610,1.470,1,0,51.004,0,0,12,4,0,11,0
01-07 01:20:07,20.747,7.749,69.990,0.750,0,1225056,11577740,148232,3322844,32986.357,138754.470,1211.829,8354.824,87.988,43.994,2347,1618,2.070,1.600,1.470,2,0,2.000,0,0,12,4,0,11,0
01-07 01:20:08,21.254,7.502,70.015,0.250,0,1239692,11561912,148340,3323704,30681.403,14889.107,112.023,12006.506,5.001,56.012,2052,1301,2.070,1.600,1.470,1,0,0,0,0,12,4,0,11,0
01-07 01:20:09,20.203,7.732,68.841,0.499,0,1252296,11546332,149876,3325036,15965.235,7620.452,15.963,7119.605,0.998,600.617,4902,6077,2.070,1.600,1.470,1,0,9.977,0,0,12,6,0,11,0
