"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","01 Sep 2026 20:13:41 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-09 20:13:41,,1087892,11864416,146296,3072944,,,,,,,2.060,1.410,1.340,3,0,,,,11,4,0,9,2
01-09 20:13:42,20.698,24.688,53.365,0,0,1093156,11858904,146344,3073104,87597.034,589241.618,0,698.239,0,17.955,5091,2892,2.060,1.410,1.340,1,0,145.633,0,0,11,4,0,9,2
01-09 20:13:43,20.512,25.765,52.030,0,0,1097520,11854116,146444,3073396,67287.137,31149.117,0,23117.446,0,92.054,4927,2518,1.970,1.410,1.340,1,0,136.079,0,0,11,4,0,9,2
01-09 20:13:44,23.242,25.741,50.483,0,0,1114008,11837384,146492,3073556,68768.955,38095.234,0,2339.216,0,316.894,5218,2487,1.970,1.410,1.340,2,0,144.951,0,0,11,4,0,9,2
01-09 20:13:45,21.442,22.688,53.854,0,0,1104312,11846320,146556,3074192,69846.364,39837.838,0,921.498,0,26.927,4623,2455,1.970,1.410,1.340,2,0,124.662,0,0,11,4,0,9,2
01-09 20:13:46,25.970,26.474,47.402,0.252,0,1092172,11841532,146624,3090416,226947.681,33152.868,0,701.947,0,16.137,4979,2480,1.970,1.410,1.340,2,0,135.145,0,0,11,4,0,9,2
01-09 20:13:47,28.445,26.449,44.664,0,0,1090436,11834444,146944,3098308,60755.419,31591.380,0,1093.901,0,40.921,4791,2436,1.970,1.410,1.340,2,0,113.782,0,0,11,4,0,9,2
01-09 20:13:48,38.370,26.909,33.138,0.249,0,1101764,11812032,147724,3106760,44914.525,22364.079,0,11783.996,0,69.763,5271,4500,1.970,1.420,1.350,2,0,79.729,0,0,11,4,0,9,2
01-09 20:13:49,28.470,26.722,44.204,0,0,1108420,11790512,148112,3119616,60281.469,32190.608,0,599.378,0,26.972,4777,2411,1.970,1.420,1.350,3,0,120.875,0,0,11,4,0,9,2
01-09 20:13:50,36.062,25.794,36.813,0,0,1117776,11765008,148460,3134704,56325.316,582758.517,0,1037.775,0,31.053,5642,4515,1.970,1.420,1.350,2,0,91.156,0,0,11,4,0,9,2
01-09 20:13:51,37.570,25.798,36.568,0.250,0,1100100,11767936,149504,3146464,59982.339,30164.494,0,2232.181,0,103.193,5313,4316,1.970,1.420,1.350,2,0,63.118,0,0,11,4,0,9,2
01-09 20:13:52,29.160,16.948,53.585,0,0,1236888,11621240,150096,3278588,44804.756,22452.723,0,1299.989,0,38.880,4911,3959,1.970,1.420,1.350,2,0,20.935,0,0,12,6,0,9,2
01-09 20:13:53,33.407,18.449,45.873,0.249,0,1248560,11584576,150976,3300728,45756.853,24408.176,15.956,1779.056,0.997,55.845,4474,2572,1.980,1.430,1.350,3,0,72.798,0,0,12,6,0,9,2
01-09 20:13:54,37.896,15.058,47.181,0.251,0,1268972,11573084,151636,3289996,61557.500,34235.531,0,1501.770,0,54.208,4137,2208,1.980,1.430,1.350,3,0,35.135,0,0,12,4,0,9,0
01-09 20:13:55,29.086,23.866,45.245,0.249,0,1212156,11629320,151636,3290744,60412.025,32797.429,894.963,27.843,7.955,2.983,4804,2545,1.980,1.430,1.350,2,0,125.295,0,0,12,4,0,9,0
01-09 20:13:56,32.928,19.103,47.004,0.503,0,1252232,11589064,151696,3290868,46475.679,25099.380,84.456,659.557,7.038,15.081,4376,2476,1.980,1.430,1.350,2,0,83.450,0,0,12,4,0,11,0
01-09 20:13:57,39.724,9.554,48.021,2.514,0,1258380,11577064,151792,3295976,44728.633,22145.078,506.863,1975.156,28.159,34.193,3606,1842,1.980,1.430,1.350,2,0,2.011,0,0,12,4,0,11,0
01-09 20:13:58,38.804,11.194,45.023,3.980,0,1271928,11559576,151960,3299264,45091.444,23419.811,2165.074,19831.917,73.628,346.253,4021,1786,1.980,1.440,1.350,2,0,1.990,0,0,12,4,0,11,0
01-09 20:13:59,41.361,14.202,41.361,0.747,0,1335420,11493892,152112,3301108,29552.585,15188.904,111.624,2128.839,4.983,12.956,9794,13902,1.980,1.440,1.350,2,0,10.963,0,0,12,4,0,11,0
01-09 20:14:00,41.330,11.021,46.840,0.501,0,1345164,11483628,152248,3301344,42360.596,577159.738,16.031,2516.848,1.002,51.098,3984,2419,1.980,1.440,1.350,2,0,6.012,0,0,12,6,0,11,0
01-09 20:14:01,38.611,22.170,35.124,1.993,0,1355312,11462724,157204,3306776,30313.920,16012.382,0,26803.551,0,2104.428,16538,23364,1.980,1.440,1.350,3,0,35.871,0,0,12,6,0,11,0
01-09 20:14:02,34.017,26.263,35.267,2.501,0,1351672,11456172,163092,3310720,44442.887,22421.042,0,35081.277,0,2654.307,14334,19543,1.980,1.440,1.350,5,0,52.026,0,0,12,6,0,11,0
01-09 20:14:03,43.253,14.583,37.816,2.966,0,1242624,11568512,166344,3304660,30866.480,19053.163,0,26788.320,0,1480.001,9390,11184,2.140,1.480,1.370,5,0,19.773,0,0,12,4,0,11,0
01-09 20:14:04,33.004,23.793,45.028,0.512,0,1233536,11577620,166388,3304612,63261.906,32790.947,4.093,22919.482,1.023,124.852,4704,2463,2.140,1.480,1.370,3,0,99.267,0,0,12,4,0,11,0
01-09 20:14:05,39.598,11.632,47.023,0,0,1257560,11553612,166388,3304596,44611.082,22770.817,0,1872.984,0,342.523,3844,1734,2.140,1.480,1.370,3,0,38.608,0,0,12,4,0,11,0
01-09 20:14:06,22.560,8.272,68.432,0.501,0,1262176,11548488,166888,3304604,45122.953,22710.372,0,6733.901,0,305.813,3414,2845,2.140,1.480,1.370,3,0,13.035,0,0,12,4,0,11,0
01-09 20:14:07,24.747,2.500,72.242,0,0,1262708,11547932,166916,3304600,30170.664,14752.369,0,127.986,0,8.999,2136,1193,2.140,1.480,1.370,2,0,0,0,0,12,4,0,11,0
01-09 20:14:08,20.265,7.255,71.804,0,0,1200488,11610136,166916,3304616,61158.775,32226.120,0,0,0,0,2629,1520,2.050,1.470,1.370,2,0,12.009,0,0,12,4,0,11,0
01-09 20:14:09,21.238,6.496,71.458,0,0,1236616,11574008,166916,3304616,44658.902,21875.216,0,271.841,0,4.997,2494,1462,2.050,1.470,1.370,7,0,9.994,0,0,12,4,0,11,0
01-09 20:14:10,33.268,10.506,55.780,0,0,1270272,11540352,166916,3304616,30032.892,15041.959,0,4.002,0,1.001,3493,11242,2.050,1.470,1.370,2,0,26.014,0,0,12,4,0,12,0
01-09 20:14:11,16.861,12.894,69.180,0,0,1235448,11575156,166920,3304632,54710.941,587440.899,0,0,0,0,3557,1940,2.050,1.470,1.370,1,0,66.452,0,0,12,4,0,12,0
01-09 20:14:12,6.299,23.684,68.532,0,0,1220448,11590116,166920,3304672,50876.166,31158.011,0,0,0,0,4817,2846,2.050,1.470,1.370,2,0,156.213,0,0,12,4,0,11,0
01-09 20:14:13,5.996,24.983,67.454,0,0,1205760,11604724,166992,3304680,61349.083,33113.375,0,615.579,0,36.975,4829,3057,1.970,1.460,1.360,1,0,127.913,0,0,12,4,0,11,0
01-09 20:14:14,7.244,24.231,67.698,0,0,1200852,11609616,167000,3304688,60548.447,31925.454,0,143.889,0,6.995,4664,2713,1.970,1.460,1.360,1,0,126.902,0,0,12,4,0,11,0
01-09 20:14:15,6.743,24.227,67.435,0,0,1194152,11616304,167000,3304700,45775.781,24046.771,0,39.961,0,6.993,4495,2634,1.970,1.460,1.360,2,0,136.868,0,0,12,4,0,11,0
01-09 20:14:16,11.851,28.493,59.003,0,0,1196264,11614068,167000,3305220,61724.026,31514.574,0,12.103,0,3.026,5772,5321,1.970,1.460,1.360,0,0,135.152,0,0,12,4,0,10,0
01-09 20:14:17,17.152,20.880,59.658,0,0,1178116,11632196,167000,3305212,44508.515,22793.164,0,35.795,0,0.994,4823,4705,1.970,1.460,1.360,1,0,64.629,0,0,12,4,0,10,0
01-09 20:14:18,20.825,15.867,58.260,3.719,0,1197912,11610676,167008,3306932,55503.466,26136.312,1800.863,0,23.800,0,3701,2355,1.890,1.450,1.360,4,0,37.683,0,0,12,4,0,10,0
01-09 20:14:19,46.905,29.253,22.444,2.270,0,1242264,11564432,167016,3308872,50553.017,30241.429,1952.882,27655.070,27.235,98.855,4978,2430,1.890,1.450,1.360,3,0,93.811,0,0,12,5,0,10,0
01-09 20:14:20,45.753,6.250,46.503,0.750,0,1286272,11520164,167036,3309112,54757.052,572410.357,20.001,116.009,4.000,10.001,3485,1630,1.890,1.450,1.360,2,0,3.000,0,0,12,5,0,6,0
01-09 20:14:21,47.187,5.493,46.937,0,0,1314496,11491688,167060,3309340,30120.754,14962.009,0,2105.187,0,342.542,3808,1342,1.890,1.450,1.360,3,0,0,0,0,12,5,0,6,0
01-09 20:14:22,36.045,19.774,43.804,0.501,0,1321272,11484128,167168,3310004,15533.198,7923.793,84.104,368.455,2.002,29.036,3580,1761,1.890,1.450,1.360,3,0,7.009,0,0,12,5,0,6,0
01-09 20:14:23,35.008,13.003,48.011,2.751,0,1344864,11458184,167276,3312104,15615.689,7525.778,84.020,800.189,8.002,71.017,5184,4814,1.900,1.460,1.360,2,0,42.010,0,0,12,4,0,7,0
01-09 20:14:24,11.998,21.303,60.972,2.938,0,1361864,11440392,167424,3312712,60136.425,32377.309,713.053,2229.270,14.692,12.733,4244,2537,1.900,1.460,1.360,2,0,95.008,0,0,13,4,0,7,0
01-09 20:14:25,21.802,15.133,65.148,0,0,1406664,11395572,167424,3312724,61073.028,31847.684,0,64512.028,0,175.438,3006,1672,1.900,1.460,1.360,1,0,0,0,0,13,4,0,7,0
01-09 20:14:26,22.387,4.726,72.136,0,0,1440676,11361556,167424,3312728,29740.984,15002.327,0,378.093,0,1.990,2324,1417,1.900,1.460,1.360,1,0,1.990,0,0,13,4,0,7,0
01-09 20:14:27,23.998,2.750,72.745,0,0,1445716,11356516,167424,3312728,29770.017,15400.974,0,4.000,0,1.000,2063,1116,1.900,1.460,1.360,2,0,0,0,0,13,4,0,7,0
01-09 20:14:28,22.620,5.469,69.600,1.740,0,1465160,11336384,167756,3313068,31084.194,27038.466,159.085,2004.470,6.960,126.274,3858,3508,1.820,1.460,1.360,4,0,0.994,0,0,13,10,0,6,0
01-09 20:14:29,22.595,7.029,69.793,0,0,1370148,11430884,168172,3313148,45332.239,25018.993,0,3209.469,0,213.898,4168,3602,1.820,1.460,1.360,1,0,23.097,0,0,13,4,0,8,0
01-09 20:14:30,18.028,11.769,69.610,0,0,1400828,11400180,168196,3313148,45341.486,23509.065,0,6281.904,0,260.411,3053,1669,1.820,1.460,1.360,3,0,21.033,0,0,13,4,0,8,0
01-09 20:14:31,19.755,3.251,72.770,4.251,0,1420852,11379768,168204,3313468,29719.992,15082.056,328.088,0,10.003,0,1959,1078,1.820,1.460,1.360,1,0,0,0,0,13,4,0,8,0
01-09 20:14:32,14.601,3.217,80.923,0,0,1442232,11358124,168204,3313680,31771.290,17131.908,0,3.960,0,0.990,2034,1267,1.820,1.460,1.360,2,0,2.970,0,0,13,7,0,6,0
01-09 20:14:33,22.992,4.801,72.261,0.505,0,1446724,11353616,168252,3313696,31072.045,583975.561,4.043,1119.786,1.011,20.213,3403,2680,1.760,1.450,1.360,1,0,2.021,0,0,13,17,0,6,0
01-09 20:14:34,11.994,2.749,74.461,9.995,0,1448108,11351628,168320,3314068,16171.436,8334.586,415.780,1059.439,102.945,15.992,2039,1375,1.760,1.450,1.360,1,0,0,0,0,13,25,0,6,0
01-09 20:14:35,18.223,2.247,78.883,0,0,1452368,11347344,168320,3314088,19005.907,11301.295,0,239.646,0,1.997,2407,1627,1.760,1.450,1.360,1,0,3.994,0,0,13,28,0,7,0
01-09 20:14:36,15.771,12.016,71.344,0,0,1469936,11329768,168320,3314096,15741.765,8196.812,0,0,0,0,2943,1706,1.760,1.450,1.360,1,0,43.057,0,0,13,28,0,7,0
01-09 20:14:37,22.508,5.252,71.774,0,0,1486760,11312936,168328,3314096,44700.223,23293.933,0,3957.348,0,309.105,2595,1384,1.760,1.450,1.360,1,0,0,0,0,13,28,0,7,0
