"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","25 Jun 2026 21:29:32 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
25-06 21:29:32,,1090816,11707104,144428,3214196,,,,,,,1.870,1.500,1.370,4,0,,,,11,4,0,9,2
25-06 21:29:33,27.229,26.729,43.466,0,0,1086836,11696588,144704,3226856,70391.554,468429.030,0,1374.917,0,30.976,5034,2705,1.870,1.500,1.370,3,0,139.890,0,0,11,4,0,9,2
25-06 21:29:34,28.222,24.975,44.956,0,0,1099684,11678792,144736,3231092,53119.763,137708.579,0,1474.550,0,260.744,5040,2355,1.880,1.510,1.370,3,0,128.873,0,0,11,4,0,9,2
25-06 21:29:35,25.782,30.288,41.552,0.250,0,1111672,11647388,145312,3248392,57479.101,32865.226,0,2366.969,0,85.107,4927,2745,1.880,1.510,1.370,3,0,147.185,0,0,11,4,0,9,2
25-06 21:29:36,27.261,26.761,43.268,0,0,1103320,11645616,145840,3256604,62451.862,34980.486,0,4789.984,0,72.030,4769,2595,1.880,1.510,1.370,3,0,132.055,0,0,11,4,0,9,2
25-06 21:29:37,27.000,27.000,43.499,0.250,0,1105068,11630160,146416,3267920,45832.364,23749.670,0,1627.977,0,51.999,4555,2376,1.880,1.510,1.370,4,0,111.998,0,0,11,4,0,9,2
25-06 21:29:38,27.001,27.001,43.502,0,0,1106032,11609976,146944,3285020,81502.339,41930.232,0,1228.065,0,41.002,4689,2453,1.880,1.510,1.370,4,0,115.006,0,0,11,4,0,9,2
25-06 21:29:39,33.750,28.750,35.000,0.250,0,1131496,11594536,147440,3273896,45790.510,23607.747,0,1567.983,0,48.999,4682,4047,1.890,1.520,1.380,3,0,96.999,0,0,11,2,0,9,0
25-06 21:29:40,28.949,25.954,42.175,0.499,0,1093244,11632140,147440,3274260,60053.670,30368.231,934.346,31.943,12.977,3.993,4444,2405,1.890,1.520,1.380,2,0,104.814,0,0,11,2,0,9,0
25-06 21:29:41,27.467,36.538,35.782,0,0,1118840,11606532,147440,3274696,45465.792,23392.602,0,9962.620,0,32.255,4948,3290,1.890,1.520,1.380,3,0,157.241,0,0,11,2,0,9,0
25-06 21:29:42,34.505,23.754,39.756,0,0,1128012,11596216,147460,3275840,68647.403,578608.688,0,1072.162,0,7.001,4801,4027,1.890,1.520,1.380,2,0,73.011,0,0,11,3,0,9,0
25-06 21:29:43,28.552,16.387,52.139,0,0,1224452,11494108,147492,3405032,55520.699,28242.512,0,1048.741,0,12.911,3824,3474,1.890,1.520,1.380,1,0,15.890,0,0,12,2,0,9,0
25-06 21:29:44,28.525,19.517,50.544,0.250,0,1216216,11501632,147496,3405588,49344.960,26575.136,16.014,8.007,1.001,2.002,3878,2296,1.900,1.520,1.380,3,0,78.068,0,0,12,4,0,9,0
25-06 21:29:45,39.211,18.232,40.210,0,0,1218552,11498108,147496,3406612,60506.958,33580.677,0,2277.740,0,18.981,7328,11298,1.900,1.520,1.380,2,0,31.968,0,0,12,4,0,9,0
25-06 21:29:46,33.114,19.567,45.657,0,0,1236684,11479796,147496,3406764,62098.155,33648.040,0,10050.661,0,30.104,3723,1979,1.900,1.520,1.380,3,0,48.166,0,0,12,4,0,9,0
25-06 21:29:47,37.158,34.664,23.941,0,0,1247240,11469164,147516,3406840,45468.758,24349.891,0,2202.563,0,6.983,8599,18750,1.900,1.520,1.380,2,0,155.616,0,0,12,6,0,11,0
25-06 21:29:48,29.018,21.081,45.635,0.992,0,1263348,11452524,147608,3407140,59399.713,31226.144,99.206,896.824,7.936,29.762,3853,2517,1.900,1.520,1.380,1,1,41.667,0,0,12,4,0,12,0
25-06 21:29:49,30.988,13.101,47.868,7.558,0,1191820,11531912,147668,3400060,44864.184,23131.977,491.784,653.024,27.209,11.085,2787,1626,1.910,1.530,1.380,2,0,1.008,0,0,12,4,0,12,0
