"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","29 Jul 2026 10:25:07 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
29-07 10:25:07,,1068748,11743348,155972,3191268,,,,,,,1.970,1.340,0.820,1,0,,,,11,4,0,10,2
29-07 10:25:08,23.381,28.107,46.513,0,0,1066996,11744860,156020,3191440,68484.613,36781.887,0,16388.630,0,312.411,5432,2896,1.890,1.330,0.820,3,0,136.307,0,0,11,4,0,10,2
29-07 10:25:09,20.742,24.741,52.730,0,0,1080752,11730876,156076,3191604,54309.234,30794.225,0,14170.582,0,95.963,4525,2390,1.890,1.330,0.820,2,0,131.950,0,0,11,4,0,10,2
29-07 10:25:10,23.830,35.620,39.132,0.251,0,1085300,11718848,156128,3198756,101152.827,38958.267,0,710.394,0,22.074,4714,2514,1.890,1.330,0.820,1,0,168.568,0,0,11,4,0,10,2
29-07 10:25:11,31.177,45.644,22.198,0,0,1092724,11696788,156316,3212436,212111.972,589124.875,0,1133.360,0,31.926,5649,3395,1.890,1.330,0.820,2,0,225.475,0,0,11,4,0,10,2
29-07 10:25:12,30.080,38.781,28.837,0.249,0,1084492,11691660,157204,3222972,45162.460,23577.117,0,1348.400,0,60.658,4786,2567,1.890,1.330,0.820,3,0,139.215,0,0,11,4,0,10,2
29-07 10:25:13,30.613,36.938,33.649,0,0,1103076,11662236,157624,3232364,61314.381,31511.309,0,1485.600,0,41.492,4809,2465,1.900,1.340,0.830,3,0,137.630,0,0,11,4,0,10,2
29-07 10:25:14,37.804,31.874,28.168,0,0,1103340,11652024,157816,3240892,52504.239,24761.712,0,71.160,0,8.895,5132,4728,1.900,1.340,0.830,7,0,96.857,0,0,11,4,0,10,2
29-07 10:25:15,29.273,36.591,32.806,0,0,1088256,11649640,158304,3256432,54324.896,28978.392,0,1558.542,0,57.537,4765,2687,1.900,1.340,0.830,2,0,134.253,0,0,11,4,0,10,2
29-07 10:25:16,35.028,35.278,28.773,0.250,0,1097304,11632880,158932,3263032,45610.977,23470.513,0,2033.604,0,84.066,5306,5111,1.900,1.340,0.830,2,0,127.100,0,0,11,4,0,10,2
29-07 10:25:17,39.274,24.015,36.022,0,0,1099384,11619444,159732,3271920,45359.272,23120.411,0,1428.891,0,42.026,4404,4587,1.900,1.340,0.830,3,0,63.039,0,0,11,4,0,10,2
29-07 10:25:18,28.404,17.441,53.319,0.249,0,1229392,11465888,160440,3417092,49073.774,22886.477,0,1295.611,0,41.858,3805,3388,1.910,1.350,0.830,3,0,14.949,0,0,12,4,0,10,2
29-07 10:25:19,25.588,18.563,54.687,0.251,0,1222296,11462012,161200,3425776,42077.918,23016.723,0,12041.184,0,87.299,3807,2646,1.910,1.350,0.830,4,0,66.227,0,0,12,6,0,10,2
29-07 10:25:20,38.464,13.827,46.760,0.754,0,1194780,11505416,161312,3409952,72599.597,592527.994,949.277,285.588,13.073,12.067,3674,2216,1.910,1.350,0.830,3,0,25.140,0,0,12,4,0,10,0
29-07 10:25:21,36.282,15.656,46.719,0,0,1239476,11460708,161312,3409964,60958.420,32446.877,0,2397.582,0,472.161,4340,1933,1.910,1.350,0.830,3,0,47.713,0,0,12,4,0,10,0
29-07 10:25:22,20.378,23.609,53.680,0,0,1235220,11464928,161340,3409980,52242.149,28248.376,0,656.084,0,9.941,4376,2612,1.910,1.350,0.830,3,0,147.122,0,0,12,5,0,11,0
29-07 10:25:23,36.216,14.838,47.282,1.509,0,1248164,11444628,161440,3416300,61846.819,32483.714,253.512,1175.007,19.114,24.144,3665,2322,2,1.380,0.840,4,0,38.228,0,0,12,4,0,12,0
29-07 10:25:24,38.218,13.739,41.965,4.496,0,1267956,11420584,161652,3419692,45172.418,23062.813,2921.569,11306.593,175.854,42.964,6494,9547,2,1.380,0.840,6,0,5.995,0,0,12,4,0,12,0
29-07 10:25:25,37.796,13.767,47.058,1.001,0,1295936,11390668,161736,3421280,44797.962,22113.130,132.162,4.005,2.002,1.001,3338,2596,2,1.380,0.840,2,0,8.010,0,0,12,4,0,12,0
29-07 10:25:26,41.751,12.250,43.251,0.250,0,1316368,11369248,161816,3421896,15529.199,7362.094,112.001,3216.041,5.000,15.000,5862,8548,2,1.380,0.840,3,0,7.000,0,0,12,4,0,12,0
29-07 10:25:27,34.904,17.951,44.378,0.499,0,1334668,11345812,163808,3424832,31735.695,16121.649,15.956,9665.410,0.997,755.920,7522,10287,2,1.380,0.840,3,0,21.940,0,0,12,6,0,12,0
29-07 10:25:28,32.813,23.545,38.324,2.505,0,1322072,11349808,169860,3427024,44745.222,22078.544,0,31480.662,0,2523.863,12924,17967,2.160,1.430,0.860,6,0,49.095,0,0,12,6,0,12,0
29-07 10:25:29,36.455,20.725,34.707,3.496,0,1288812,11381768,174664,3424284,30388.612,17600.346,0,53306.415,0,2272.204,11391,17103,2.160,1.430,0.860,3,0,33.958,0,0,12,6,0,12,0
29-07 10:25:30,34.698,19.970,43.435,0.749,0,1255988,11413728,175512,3424284,73969.816,582923.807,0,12593.071,0,516.224,5304,5024,2.160,1.430,0.860,3,0,84.872,0,0,12,4,0,12,0
29-07 10:25:31,32.988,14.994,50.231,0,0,1248056,11421668,175512,3424276,45335.181,23809.167,0,47.982,0,3.999,3545,1961,2.160,1.430,0.860,1,0,62.977,0,0,12,4,0,12,0
29-07 10:25:32,21.341,7.030,70.298,0.502,0,1265928,11403208,176084,3424276,60169.193,30105.686,0,7447.587,0,350.487,3105,2898,2.160,1.430,0.860,1,0,2.009,0,0,12,4,0,12,0
29-07 10:25:33,22.992,3.249,72.724,0,0,1269928,11399180,176104,3424280,30853.888,14800.669,0,151.945,0,5.998,1919,1550,2.140,1.440,0.870,1,0,0,0,0,12,4,0,12,0
29-07 10:25:34,30.509,12.754,56.016,0,0,1200852,11468220,176128,3424292,30427.781,16926.885,0,456.132,0,15.004,3256,9642,2.140,1.440,0.870,1,0,46.013,0,0,12,4,0,12,0
29-07 10:25:35,21.494,4.999,72.481,0,0,1211436,11457636,176128,3424292,45937.905,23111.915,0,0,0,0,1951,1365,2.140,1.440,0.870,1,0,1.999,0,0,12,4,0,12,0
29-07 10:25:36,22.504,4.751,72.513,0,0,1244700,11424372,176128,3424292,45059.125,22318.024,0,0,0,0,1886,1377,2.140,1.440,0.870,1,0,0,0,0,12,4,0,12,0
29-07 10:25:37,23.717,2.247,72.648,0,0,1249728,11419332,176132,3424300,15466.236,7351.655,0,215.696,0,49.930,1766,1140,2.140,1.440,0.870,1,0,0,0,0,12,4,0,12,0
29-07 10:25:38,8.011,22.030,68.843,0,0,1178892,11490160,176132,3424308,62134.953,35568.057,0,0,0,0,4088,2675,2.130,1.450,0.870,1,0,139.188,0,0,12,4,0,12,0
29-07 10:25:39,6.230,23.175,68.777,0.249,0,1184700,11484304,176168,3424320,60800.515,33379.580,0,239.223,0,11.961,4301,3024,2.130,1.450,0.870,1,0,131.573,0,0,12,4,0,12,0
29-07 10:25:40,7.520,24.564,66.172,0,0,1177704,11491288,176200,3424452,45529.573,23013.936,0,8754.800,0,286.747,4599,2733,2.130,1.450,0.870,1,0,125.326,0,0,12,4,0,12,0
29-07 10:25:41,8.464,23.649,65.222,0,0,1158904,11510004,176208,3424524,73058.405,598025.415,0,103.558,0,6.970,4631,2911,2.130,1.450,0.870,2,0,126.461,0,0,12,4,0,12,0
29-07 10:25:42,6.523,24.588,67.241,0,0,1154328,11514576,176208,3424528,46004.064,24076.387,0,12.043,0,3.011,4232,2707,2.130,1.450,0.870,1,0,143.515,0,0,12,4,0,12,0
29-07 10:25:43,16.013,21.768,61.050,0,0,1139392,11529488,176208,3424988,59560.545,30614.953,0,1148.936,0,238.194,4852,5290,2.040,1.440,0.870,1,0,79.064,0,0,12,4,0,11,0
29-07 10:25:44,19.503,22.504,57.009,0,0,1143592,11525288,176208,3424960,45255.204,22957.654,0,0,0,0,4161,5117,2.040,1.440,0.870,3,0,65.010,0,0,12,4,0,11,0
29-07 10:25:45,21.695,22.942,46.382,6.733,0,1141228,11525820,176212,3426796,45997.143,23699.790,1811.398,34651.966,21.944,122.688,3891,2381,2.040,1.440,0.870,4,0,55.858,0,0,12,4,0,11,0
29-07 10:25:46,45.866,21.805,31.079,1.754,0,1234520,11431324,176220,3427972,60552.012,33175.834,1174.969,729.844,15.038,4.010,4343,2134,2.040,1.440,0.870,2,0,75.190,0,0,12,5,0,11,0
29-07 10:25:47,45.510,5.222,47.748,0.249,0,1272184,11393524,176240,3428084,29373.105,15357.017,19.895,83.559,3.979,5.969,2749,1307,2.040,1.440,0.870,3,0,1.990,0,0,12,5,0,7,0
29-07 10:25:48,44.755,5.783,48.023,1.006,0,1301936,11362780,176252,3429040,30261.194,15542.441,494.816,209.190,7.040,1.006,2699,1282,2.040,1.450,0.880,2,0,1.006,0,0,12,5,0,7,0
