"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","07 Sep 2026 00:03:54 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
07-09 00:03:54,,1069440,11875900,139720,3086836,,,,,,,1.490,1.220,1.140,3,0,,,,11,5,0,9,0
07-09 00:03:55,21.876,28.916,48.529,0,0,1067208,11877924,139784,3086912,75692.488,39465.057,0,28882.170,0,322.858,5107,2536,1.490,1.220,1.140,1,0,127.735,0,0,11,6,0,9,0
07-09 00:03:56,15.614,22.665,60.440,0.252,0,1069632,11875204,139876,3087148,84647.995,42381.415,0,1003.301,0,30.220,4597,2483,1.530,1.230,1.140,2,0,134.982,0,0,11,6,0,9,0
07-09 00:03:57,21.313,24.039,52.539,0,0,1073996,11870460,139932,3087388,54029.361,31381.896,0,749.430,0,20.818,4870,2627,1.530,1.230,1.140,3,0,155.636,0,0,11,5,0,9,1
07-09 00:03:58,26.723,24.959,48.657,0,0,1098900,11845328,139964,3087568,78172.761,590035.480,0,447.744,0,14.118,5151,3147,1.530,1.230,1.140,2,0,146.223,0,0,11,4,0,9,2
07-09 00:03:59,24.990,23.491,49.231,0,0,1100704,11843340,139996,3087676,65364.774,36464.927,0,543.790,0,16.993,4670,2388,1.530,1.230,1.140,1,0,127.951,0,0,11,4,0,9,2
07-09 00:04:00,25.977,26.727,46.460,0,0,1095764,11847976,140084,3088268,73599.075,29243.600,0,919.202,0,28.975,5398,4194,1.530,1.230,1.140,2,0,144.874,0,0,11,4,0,9,2
07-09 00:04:01,29.892,18.337,51.243,0,0,1105804,11837708,140124,3087992,51541.233,27410.889,0,570.704,0,18.086,4003,2257,1.650,1.260,1.150,2,0,71.338,0,0,11,4,0,9,2
07-09 00:04:02,23.596,21.875,52.353,0,0,1107272,11835980,140180,3088352,67943.565,36847.497,0,951.690,0,24.579,4558,2297,1.650,1.260,1.150,3,0,103.231,0,0,11,4,0,9,2
07-09 00:04:03,31.812,24.237,43.425,0,0,1099840,11827480,140248,3103432,178601.377,33280.983,0,848.309,0,21.208,5316,4782,1.650,1.260,1.150,2,0,63.623,0,0,11,4,0,9,2
07-09 00:04:04,39.845,23.907,34.366,0.996,0,1105944,11815268,140380,3108928,97561.495,25645.977,155.394,685.327,4.981,17.930,5327,5047,1.650,1.260,1.150,2,1,67.736,0,0,11,4,0,9,2
07-09 00:04:05,26.234,16.990,51.218,5.247,0,1231624,11676608,141012,3244320,59900.136,28914.206,635.609,1239.237,35.978,54.966,4367,3561,1.650,1.260,1.150,5,0,29.982,0,0,12,6,0,9,2
07-09 00:04:06,33.872,21.076,43.657,0.251,0,1234052,11664808,141292,3252540,46294.953,26834.774,20.072,11565.709,2.007,50.181,4479,2310,1.840,1.310,1.170,2,0,57.206,0,0,12,6,0,9,2
07-09 00:04:07,41.568,12.771,45.324,0,0,1243948,11645056,141376,3261024,72948.412,599479.311,0,2383.902,0,418.685,4672,2127,1.840,1.310,1.170,2,0,26.043,0,0,12,6,0,9,2
07-09 00:04:08,35.244,18.247,46.242,0.500,0,1251540,11619452,141764,3277308,60929.881,34024.349,0,1379.771,0,50.992,4347,2378,1.840,1.310,1.170,2,0,72.988,0,0,12,6,0,9,2
07-09 00:04:09,31.497,22.498,44.746,0,0,1244460,11618824,142352,3283300,61125.472,34858.847,0,2075.812,0,92.992,5108,3076,1.840,1.310,1.170,2,0,100.991,0,0,12,6,0,11,2
07-09 00:04:10,38.970,10.742,47.214,2.998,0,1270908,11582196,142980,3291208,45091.675,23418.174,251.808,2254.284,18.986,52.960,3964,2229,1.840,1.310,1.170,3,0,8.993,0,0,12,6,0,11,2
07-09 00:04:11,38.136,7.727,47.109,5.982,0,1291008,11537968,143608,3312756,44934.979,23753.155,1423.754,1443.694,63.810,37.887,3597,1817,1.850,1.320,1.170,1,1,0,0,0,12,6,0,11,2
07-09 00:04:12,39.679,6.738,47.415,5.740,0,1310188,11509352,143988,3320640,29571.153,15027.145,1090.052,1469.374,25.954,39.929,3613,1871,1.850,1.320,1.170,1,1,1.996,0,0,12,6,0,11,2
07-09 00:04:13,41.160,8.838,47.726,2.525,0,1349556,11480216,144536,3308960,30430.340,15787.374,230.296,2254.473,6.060,42.423,3557,1737,1.850,1.320,1.170,1,1,0,0,0,12,4,0,11,0
07-09 00:04:14,42.109,8.422,47.311,0.743,0,1311980,11517012,144536,3309732,30863.694,15218.823,768.868,23.779,6.936,1.982,3421,1508,1.850,1.320,1.170,3,0,18.825,0,0,12,4,0,11,0
07-09 00:04:15,40.249,14.907,43.728,0.994,0,1343708,11479212,147020,3313220,15363.372,8719.725,143.109,11428.862,1.988,959.031,8409,9464,1.850,1.320,1.170,3,0,20.870,0,0,12,6,0,11,0
07-09 00:04:16,40.710,20.229,37.423,3.034,0,1351536,11457848,152124,3320860,44986.755,22888.850,4.046,40680.050,1.011,2255.508,13433,16889,1.860,1.330,1.180,3,1,48.549,0,0,12,6,0,11,0
07-09 00:04:17,41.442,13.897,38.464,5.459,0,1367840,11432212,156916,3324884,29988.011,16993.636,0,35210.179,0,2195.673,12731,17483,1.860,1.330,1.180,3,1,37.720,0,0,12,6,0,11,0
07-09 00:04:18,45.073,16.871,35.505,1.259,0,1301700,11496528,158440,3325136,57719.890,574382.704,0,15559.572,0,833.980,12785,18396,1.860,1.330,1.180,2,0,33.238,0,0,12,4,0,11,0
07-09 00:04:19,34.471,17.985,47.210,0.250,0,1286920,11510056,158488,3326140,60207.002,32662.334,0,1194.988,0,27.976,3952,2120,1.860,1.330,1.180,3,0,57.951,0,0,12,4,0,11,0
07-09 00:04:20,43.051,13.687,39.567,0.498,0,1325316,11471136,158984,3326148,44863.034,23597.139,0,7800.016,0,297.627,8047,10793,1.860,1.330,1.180,3,0,6.968,0,0,12,4,0,11,0
07-09 00:04:21,37.828,14.879,48.168,0,0,1349480,11446796,159008,3326240,29942.764,15661.872,0,379.290,0,10.088,3514,1628,1.870,1.340,1.180,3,0,16.140,0,0,12,4,0,11,0
07-09 00:04:22,43.309,10.765,45.311,0,0,1281580,11521844,159052,3319704,30655.576,17019.082,0,19979.096,0,89.121,3378,1459,1.870,1.340,1.180,2,0,1.001,0,0,12,4,0,11,0
07-09 00:04:23,41.011,10.253,48.513,0,0,1234408,11568980,159052,3319728,45186.643,23275.998,0,8.002,0,2.001,3314,1672,1.870,1.340,1.180,3,0,19.005,0,0,12,4,0,11,0
07-09 00:04:24,42.894,8.926,46.366,0,0,1267404,11535980,159052,3319732,55497.958,29481.617,0,3.967,0,0.992,3453,1619,1.870,1.340,1.180,5,0,18.844,0,0,12,4,0,11,0
07-09 00:04:25,34.614,9.782,54.681,0,0,1265428,11537996,159052,3319720,34420.661,18204.112,0,4.013,0,1.003,3317,1712,1.870,1.340,1.180,2,0,50.166,0,0,12,4,0,11,0
07-09 00:04:26,20.755,6.751,72.266,0,0,1235804,11567604,159056,3319732,44931.877,25115.521,0,0,0,0,2574,1449,1.800,1.340,1.180,1,0,25.005,0,0,12,4,0,11,0
07-09 00:04:27,7.483,23.198,66.849,0,0,1226996,11576516,159092,3319740,60741.663,34256.546,0,8484.816,0,291.341,5018,3000,1.800,1.340,1.180,2,0,129.707,0,0,12,4,0,11,0
07-09 00:04:28,8.266,23.795,66.375,0,0,1214860,11588608,159140,3319716,53530.983,259168.907,0,420.794,0,27.051,4981,3246,1.800,1.340,1.180,4,0,127.240,0,0,12,4,0,11,0
07-09 00:04:29,8.526,23.571,66.700,0,0,1205608,11597852,159140,3319724,66500.220,365912.194,0,16.048,0,4.012,4762,2735,1.800,1.340,1.180,1,0,123.370,0,0,12,4,0,10,0
07-09 00:04:30,6.983,23.942,66.339,0,0,1200532,11602920,159140,3319732,60997.651,32447.087,0,15.961,0,3.990,4516,2658,1.800,1.340,1.180,3,0,134.672,0,0,12,4,0,10,0
07-09 00:04:31,6.738,23.709,67.884,0,0,1194652,11608668,159140,3319864,45107.789,23198.292,0,11.979,0,2.995,4439,2601,1.740,1.330,1.180,2,0,128.780,0,0,12,4,0,10,0
07-09 00:04:32,17.989,23.485,57.215,0,0,1173768,11629536,159140,3320320,59889.021,31082.807,0,19.988,0,1.999,5356,5315,1.740,1.330,1.180,2,0,77.952,0,0,12,4,0,10,0
07-09 00:04:33,22.995,18.996,56.488,0,0,1151896,11651400,159148,3320320,30084.863,15822.772,0,139.971,0,3.999,5019,5019,1.740,1.330,1.180,1,0,62.987,0,0,12,4,0,6,0
07-09 00:04:34,22.218,17.475,53.922,5.742,0,1163616,11637844,159152,3322160,59797.407,31344.609,1813.374,43.936,22.967,1.997,3742,2249,1.740,1.330,1.180,4,0,52.923,0,0,12,4,0,6,0
07-09 00:04:35,44.139,20.682,32.032,3.531,0,1248364,11551156,159152,3324100,61314.129,33466.816,1953.206,4.036,28.249,1.009,4515,2237,1.740,1.330,1.180,3,0,78.693,0,0,12,5,0,6,0
07-09 00:04:36,44.053,6.930,47.023,0.495,0,1298624,11500756,159172,3324212,29763.878,14983.904,19.799,27.719,3.960,2.970,3186,1347,1.840,1.360,1.190,2,0,1.980,0,0,12,5,0,6,0
07-09 00:04:37,48.350,8.518,43.340,0,0,1319312,11479576,159184,3324684,30391.963,15019.115,0,28727.515,0,115.239,3593,1379,1.840,1.360,1.190,2,0,0,0,0,12,5,0,6,0
07-09 00:04:38,40.911,11.796,47.437,0,0,1323820,11475044,159192,3324684,15517.025,7589.849,0,2309.081,0,282.109,3827,1659,1.840,1.360,1.190,2,0,0,0,0,12,5,0,6,0
07-09 00:04:39,42.249,13.077,43.758,0.251,0,1339612,11457208,159284,3326548,39890.032,451848.284,76.450,0,5.030,0,4385,3569,1.840,1.360,1.190,3,0,12.071,0,0,12,4,0,6,0
07-09 00:04:40,23.782,26.012,48.059,0.248,0,1371324,11424512,159416,3327332,3216.517,123200.733,396.367,0,10.900,0,5545,4270,1.840,1.360,1.190,2,0,127.828,0,0,13,4,0,6,0
