"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","03 Sep 2026 18:14:46 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-09 18:14:46,,1052060,11912248,135892,3072280,,,,,,,1.680,1.280,1.150,3,0,,,,11,4,0,9,2
03-09 18:14:47,22.748,23.748,50.497,0.500,0,1061724,11902232,135948,3072496,69399.243,39162.316,0,775.947,0,20.999,5186,3738,1.680,1.280,1.150,2,0,130.991,0,0,11,4,0,9,2
03-09 18:14:48,20.005,25.006,52.262,0,0,1060476,11886104,136028,3089168,242669.885,41483.382,0,960.217,0,21.005,4810,2525,1.680,1.280,1.150,3,0,131.030,0,0,11,4,0,9,2
03-09 18:14:49,28.952,25.208,43.927,0,0,1062240,11878552,136132,3094408,46020.126,24377.279,0,359.400,0,11.980,4921,2412,1.790,1.300,1.160,4,0,136.772,0,0,11,4,0,9,2
03-09 18:14:50,27.979,25.481,44.467,0,0,1063452,11865916,136764,3103480,60998.955,35042.123,59.956,1319.026,0.999,55.959,4818,2563,1.790,1.300,1.160,4,0,120.911,0,0,11,4,0,9,2
03-09 18:14:51,28.409,30.403,38.876,0,0,1067960,11851040,137040,3112848,60493.960,32745.507,0,18919.626,0,361.845,5294,2455,1.790,1.300,1.160,4,0,118.621,0,0,11,4,0,9,2
03-09 18:14:52,29.453,25.426,43.299,0,0,1058076,11853740,137124,3118908,45892.864,23711.716,64.445,16.111,1.007,4.028,4642,2247,1.790,1.300,1.160,3,0,118.820,0,0,11,4,0,9,2
03-09 18:14:53,34.706,28.714,35.205,0,0,1080024,11816244,137364,3133536,72241.446,592421.204,0,942.805,0,26.966,5890,4347,1.790,1.300,1.160,2,0,109.861,0,0,11,4,0,9,2
03-09 18:14:54,33.121,21.168,43.332,0.249,0,1076328,11808460,138032,3142364,45232.173,22926.879,0,2466.413,0,102.601,4504,2537,1.970,1.350,1.170,2,0,71.721,0,0,11,4,0,9,2
03-09 18:14:55,28.487,27.738,40.982,0.500,0,1077996,11800268,138376,3147496,45146.774,23153.627,67.970,751.663,1.000,20.991,4666,2224,1.970,1.350,1.170,2,0,110.950,0,0,11,4,0,9,2
03-09 18:14:56,37.729,25.907,33.704,0,0,1072464,11794776,138664,3157020,60399.896,32146.741,0,1030.241,0,31.189,5297,4111,1.970,1.350,1.170,3,0,61.372,0,0,11,4,0,9,2
03-09 18:14:57,37.397,24.682,36.150,0,0,1073996,11775328,139232,3172880,44575.954,23102.229,0,1344.289,0,41.884,5107,4227,1.970,1.350,1.170,2,0,62.827,0,0,11,4,0,9,2
