"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","23 Sep 2026 19:46:43 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
23-09 19:46:43,,1074192,11845828,143324,3108788,,,,,,,1.780,1.340,1.250,5,0,,,,11,4,0,9,2
23-09 19:46:44,23.212,23.953,49.882,0,0,1086504,11833208,143372,3108992,68132.943,37915.291,0,644.022,0,17.780,5227,3955,1.780,1.340,1.250,2,0,153.103,0,0,11,4,0,9,2
23-09 19:46:45,23.383,24.137,52.297,0,0,1090908,11828444,143420,3109256,68402.797,38069.384,0,720.093,0,18.103,4847,2531,1.780,1.340,1.250,2,0,144.823,0,0,11,4,0,9,2
23-09 19:46:46,21.209,25.700,51.400,0.250,0,1090176,11811816,143500,3125924,238930.165,585314.180,0,922.214,0,20.959,5288,2931,1.780,1.340,1.250,2,0,144.720,0,0,11,4,0,9,2
23-09 19:46:47,30.053,25.295,44.579,0,0,1101324,11792460,143716,3133188,61167.877,33426.952,0,881.555,0,33.058,4803,2483,1.780,1.340,1.250,2,0,133.235,0,0,11,4,0,9,2
23-09 19:46:48,27.998,27.748,42.997,0,0,1108104,11774756,144288,3141836,60587.186,31847.995,0,923.942,0,43.997,4775,2584,1.960,1.390,1.260,3,0,122.992,0,0,11,4,0,9,2
23-09 19:46:49,32.706,29.687,36.480,0,0,1102180,11765788,144532,3155428,46070.859,23860.639,0,1304.234,0,35.222,5598,5031,1.960,1.390,1.260,3,0,151.959,0,0,11,4,0,9,2
23-09 19:46:50,34.446,19.825,44.359,0,0,1099020,11761840,144676,3161116,59478.579,30374.192,0,868.344,0,24.782,4789,2647,1.960,1.390,1.260,4,0,75.336,0,0,11,4,0,9,2
23-09 19:46:51,30.172,28.925,39.149,0.249,0,1116484,11723472,145424,3179680,45907.543,23924.268,0,2381.854,0,104.730,5459,4813,1.960,1.390,1.260,7,0,141.635,0,0,11,4,0,9,2
