"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","27 Aug 2026 19:15:52 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-08 19:15:52,,1049968,11902684,169400,3047156,,,,,,,1.580,1.290,0.920,3,0,,,,11,3,0,9,0
27-08 19:15:53,25.522,31.965,38.655,1.487,0,1054952,11897412,169428,3047408,312097.349,41115.155,245.807,214.090,6.938,5.947,5410,3217,1.580,1.290,0.920,2,0,206.161,0,0,11,4,0,9,0
27-08 19:15:54,10.982,24.209,62.146,0,0,1060740,11891620,169456,3047384,83855.394,475382.892,0,151.746,0,5.990,4617,2500,1.580,1.290,0.920,2,0,133.776,0,0,11,4,0,9,0
27-08 19:15:55,20.045,24.555,52.368,0,0,1064112,11887880,169484,3047684,70494.772,155489.200,0,288.650,0,7.016,4717,2494,1.620,1.300,0.920,1,0,145.327,0,0,11,5,0,9,0
27-08 19:15:56,21.011,24.763,51.277,0,0,1062528,11889292,169532,3047768,52765.859,29784.726,0,756.399,0,23.012,4499,2358,1.620,1.300,0.920,2,0,126.067,0,0,11,5,0,9,0
27-08 19:15:57,13.747,23.995,57.488,0,0,1051748,11899756,169604,3047956,85496.663,36272.645,0,703.857,0,23.995,4363,2329,1.620,1.300,0.920,5,0,118.976,0,0,11,6,0,9,0
27-08 19:15:58,17.954,24.687,54.362,0,0,1045172,11905872,169684,3048264,72572.252,39509.420,0,1153.065,0,32.916,4433,2339,1.620,1.300,0.920,2,0,113.711,0,0,11,5,0,9,1
27-08 19:15:59,30.107,23.835,43.655,0,0,1047892,11902888,169732,3048856,52340.008,27475.644,0,638.268,0,19.068,5121,4501,1.620,1.300,0.920,2,0,79.282,0,0,11,4,0,9,2
27-08 19:16:00,28.980,24.733,44.718,0,0,1054528,11896132,169748,3048496,47901.191,24602.635,0,303.786,0,7.994,4693,2546,1.650,1.320,0.930,3,0,108.923,0,0,11,4,0,9,2
27-08 19:16:01,31.878,32.369,30.407,0,0,1075724,11874684,169852,3049108,89131.263,38263.010,0,1047.576,0,32.369,6081,14651,1.650,1.320,0.930,9,0,152.036,0,0,11,4,0,10,2
27-08 19:16:02,31.725,23.920,41.545,0,0,1065700,11884300,169900,3049284,54128.667,28173.214,0,660.695,0,18.129,4941,4774,1.650,1.320,0.930,13,0,66.472,0,0,11,4,0,9,2
27-08 19:16:03,32.138,20.660,45.401,0,0,1146512,11803176,169924,3131464,64352.870,595911.900,0,350.964,0,10.202,4777,3377,1.650,1.320,0.930,2,0,21.425,0,0,12,4,0,9,2
27-08 19:16:04,17.385,8.444,72.026,0,0,1189324,11759832,169988,3174224,53584.018,27616.081,0,846.424,0,23.843,2545,1660,1.650,1.320,0.930,2,0,23.843,0,0,12,6,0,9,2
27-08 19:16:05,29.602,17.413,51.243,0,0,1201408,11730668,170056,3190708,224077.987,34152.836,15.920,792.031,0.995,16.915,4320,2328,1.680,1.330,0.930,2,0,56.716,0,0,12,6,0,9,2
27-08 19:16:06,38.695,15.076,44.976,0,0,1210084,11713528,170344,3198064,60938.717,33265.432,0,6709.772,0,52.263,3735,2058,1.680,1.330,0.930,2,0,28.142,0,0,12,6,0,9,2
27-08 19:16:07,31.606,21.154,43.801,0.249,0,1216472,11696300,171136,3206464,60595.319,32914.255,0,788.413,0,38.823,4657,2534,1.680,1.330,0.930,5,0,101.538,0,0,12,6,0,9,2
27-08 19:16:08,32.369,19.070,46.420,0.251,0,1223240,11675512,171572,3218720,46080.032,24945.506,0,1493.478,0,46.169,4540,2686,1.680,1.330,0.930,2,0,73.269,0,0,12,6,0,11,2
27-08 19:16:09,40.523,9.255,46.526,2.501,0,1235476,11657928,171768,3222960,59500.447,30006.868,360.202,1452.817,20.011,26.015,3591,1954,1.680,1.330,0.930,2,0,2.001,0,0,12,6,0,11,2
27-08 19:16:10,39.652,9.477,46.385,2.494,0,1272752,11599348,172532,3241928,33989.080,15944.632,1153.153,2457.931,25.936,83.793,3857,2045,1.700,1.340,0.940,3,0,0,0,0,12,6,0,11,2
27-08 19:16:11,41.780,11.326,46.059,0.755,0,1280228,11581884,173288,3249688,41319.859,22480.629,132.890,6181.418,2.013,74.499,3733,1823,1.700,1.340,0.940,2,0,0,0,0,12,6,0,11,2
27-08 19:16:12,43.213,7.202,46.938,0.497,0,1300120,11553268,173844,3256364,21737.737,9483.065,111.262,2165.628,4.967,37.749,3389,1719,1.700,1.340,0.940,4,0,1.987,0,0,12,6,0,11,2
27-08 19:16:13,41.044,11.443,45.273,0.498,0,1328588,11499996,175448,3277732,34579.322,446057.634,15.920,5607.834,0.995,361.186,5675,5118,1.700,1.340,0.940,3,0,10.945,0,0,12,8,0,11,2
27-08 19:16:14,39.786,17.015,36.783,2.502,0,1326864,11481708,181160,3290424,48999.827,154690.361,0,34018.427,0,2226.992,13074,17577,1.700,1.340,0.940,3,0,31.028,0,0,12,8,0,11,2
27-08 19:16:15,37.682,18.467,35.935,4.492,0,1307108,11508200,186560,3278068,30172.755,15176.715,758.636,37552.488,5.989,2384.713,13383,17800,1.810,1.370,0.950,2,0,30.944,0,0,12,6,0,11,0
27-08 19:16:16,44.071,12.411,40.272,2.533,0,1307904,11504420,189084,3278444,61308.299,35362.146,0,18203.846,0,1197.515,7538,9132,1.810,1.370,0.950,2,0,33.433,0,0,12,4,0,11,0
27-08 19:16:17,29.892,22.170,45.336,0,0,1244496,11567760,189132,3278448,45237.810,24973.910,0,12008.680,0,57.792,4555,2378,1.810,1.370,0.950,2,0,91.669,0,0,12,4,0,11,0
27-08 19:16:18,40.964,13.407,43.695,0.993,0,1249112,11557364,189708,3283072,50481.937,25045.333,0,10359.751,0,750.764,4792,2937,1.810,1.370,0.950,5,0,3.972,0,0,12,4,0,11,0
27-08 19:16:19,40.968,11.059,47.000,0,0,1282948,11522588,189740,3283824,38813.866,21215.070,0,619.301,0,10.054,3356,1566,1.810,1.370,0.950,2,0,2.011,0,0,12,4,0,11,0
27-08 19:16:20,42.780,13.509,41.028,0,0,1305140,11499152,189740,3284864,29672.510,15154.475,0,0,0,0,8515,11733,1.900,1.390,0.960,2,0,12.008,0,0,12,4,0,11,0
27-08 19:16:21,38.990,11.997,46.488,0,0,1259892,11544152,189744,3284996,45323.103,24993.439,0,91.976,0,1.999,3210,1371,1.900,1.390,0.960,2,0,12.997,0,0,12,4,0,11,0
