"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","12 Jun 2026 23:09:03 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
12-06 23:09:03,,1587632,5117920,1438056,7511468,,,,,,,1.900,1.440,1.410,2,0,,,,10,3,1,9,1
12-06 23:09:04,25.510,25.260,46.518,0,0,1587460,5110452,1438056,7519168,61023.409,33478.843,0,992.381,0,42.016,4298,2930,1.900,1.440,1.410,3,0,124.048,0,0,10,3,1,9,1
12-06 23:09:05,26.856,22.380,45.506,0,0,1607116,5088240,1438056,7521724,47520.758,443145.791,0,0,0,0,3747,2051,1.900,1.440,1.410,4,0,117.370,0,0,10,3,1,9,1
12-06 23:09:06,22.248,18.498,49.996,0.750,0,1599796,5088980,1438056,7528304,62386.892,146192.031,0,1367.888,0,32.997,3226,1844,1.900,1.440,1.410,6,0,109.991,0,0,10,3,1,9,1
12-06 23:09:07,19.600,19.600,46.739,0.251,0,1592672,5089636,1438056,7534772,46251.817,24827.119,0,0,0,0,2779,1580,1.900,1.440,1.410,2,0,102.525,0,0,10,3,1,9,1
12-06 23:09:08,23.693,17.587,48.119,0,0,1596092,5084128,1438056,7536860,60875.101,33320.779,0,3.908,0,0.977,3113,1742,2.150,1.500,1.430,3,0,101.612,0,0,10,3,1,9,1
12-06 23:09:09,23.504,20.950,49.564,0.255,0,1593772,5081880,1438056,7541428,46211.611,24027.585,0,907.473,0,28.614,3404,1959,2.150,1.500,1.430,2,0,103.215,0,0,10,3,1,9,1
12-06 23:09:10,23.003,24.253,47.507,1.000,0,1593840,5067928,1438056,7555300,50303.194,24225.465,0,1432.205,0,58.008,3681,2143,2.150,1.500,1.430,1,0,120.017,0,0,10,3,1,9,1
12-06 23:09:11,32.132,26.403,39.106,0.996,0,1573520,5081792,1438056,7562220,56723.272,30629.292,0,1259.366,0,54.798,4232,4024,2.150,1.500,1.430,2,0,111.589,0,0,10,3,1,9,1
12-06 23:09:12,28.415,23.226,42.498,0.494,0,1573848,5078012,1438056,7565200,44755.821,23548.101,0,2763.388,0,368.649,4266,2230,2.150,1.500,1.430,2,0,79.067,0,0,10,3,1,9,1
