"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","01 Sep 2026 20:13:47 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-09 20:13:47,,1075448,11888932,138804,3069020,,,,,,,1.830,1.260,1.240,2,0,,,,11,5,0,9,0
01-09 20:13:48,20.480,27.723,50.450,0,0,1068180,11895984,138852,3069124,68285.709,38654.908,0,22845.487,0,90.910,4905,2547,1.830,1.260,1.240,1,0,139.862,0,0,11,5,0,9,0
01-09 20:13:49,17.263,22.517,58.045,0,0,1077264,11886700,138940,3069204,80565.960,34607.615,0,712.548,0,24.018,4735,2468,1.830,1.260,1.240,2,0,133.102,0,0,11,6,0,9,0
01-09 20:13:50,19.956,24.447,53.882,0,0,1085324,11878168,139012,3069496,65211.775,36547.291,0,2797.898,0,363.208,5372,2575,1.830,1.260,1.240,2,0,145.682,0,0,11,5,0,9,1
01-09 20:13:51,31.724,28.955,39.026,0,0,1102224,11861016,139060,3072176,69185.558,39239.661,0,704.989,0,21.150,5245,10124,1.830,1.260,1.240,4,0,169.197,0,0,11,4,0,9,2
01-09 20:13:52,25.874,26.372,46.524,0,0,1097560,11865356,139108,3069900,67719.857,36623.994,0,851.860,0,21.894,4884,8274,1.930,1.290,1.250,4,0,137.333,0,0,11,4,0,9,2
01-09 20:13:53,20.453,22.698,55.373,0.249,0,1092340,11870192,139212,3070488,75432.452,30374.118,0,1065.548,0,33.922,4633,2625,1.930,1.290,1.250,3,0,107.752,0,0,11,4,0,9,2
01-09 20:13:54,35.886,23.176,40.122,0,0,1081964,11880292,139244,3070276,59171.345,453503.100,0,442.589,0,14.952,5198,3979,1.930,1.290,1.250,2,0,97.689,0,0,11,4,0,9,2
01-09 20:13:55,21.602,24.867,52.748,0,0,1086344,11875572,139300,3070504,72332.405,157925.214,0,872.104,0,24.113,4665,2368,1.930,1.290,1.250,2,0,119.563,0,0,11,4,0,9,2
01-09 20:13:56,29.461,24.717,44.191,0,0,1072164,11872228,139380,3087284,239991.186,37209.569,127.830,1002.668,0.999,21.971,4975,3747,1.930,1.290,1.250,2,0,77.897,0,0,11,4,0,9,2
01-09 20:13:57,38.802,26.285,34.296,0,0,1085392,11851096,139592,3094304,45328.924,23551.655,0,829.114,0,31.042,5074,4603,1.930,1.300,1.260,2,0,74.100,0,0,11,4,0,9,2
01-09 20:13:58,30.254,23.253,45.256,0,0,1233764,11691504,140180,3228032,45933.105,24649.276,16.002,824.110,1.000,36.005,5239,3864,1.930,1.300,1.260,3,0,72.010,0,0,12,6,0,9,2
01-09 20:13:59,40.436,16.074,44.454,0,0,1221584,11688440,140460,3241476,61444.036,33716.765,0,11231.554,0,66.304,4176,2146,1.930,1.300,1.260,2,0,34.157,0,0,12,6,0,9,2
01-09 20:14:00,36.792,15.413,46.488,0.249,0,1229380,11665104,140684,3255684,61001.643,32478.657,0,1268.837,0,27.843,4252,2251,1.930,1.300,1.260,4,0,52.702,0,0,12,6,0,9,2
01-09 20:14:01,32.162,21.690,45.625,0.249,0,1226548,11655024,141432,3266092,52405.974,26702.614,0,2509.104,0,110.696,4801,2873,1.930,1.300,1.260,5,0,99.726,0,0,12,8,0,10,2
01-09 20:14:02,36.048,13.865,46.636,3.781,0,1240792,11631752,142044,3272908,54014.532,29056.204,237.967,2206.239,18.150,59.492,4319,2675,1.940,1.310,1.260,1,1,30.250,0,0,12,6,0,11,2
01-09 20:14:03,37.563,8.955,45.772,5.970,0,1279828,11567376,142712,3295724,58588.641,587124.253,2523.451,1436.855,90.550,35.822,4153,2277,1.940,1.310,1.260,2,0,2.985,0,0,12,6,0,11,2
01-09 20:14:04,43.780,8.756,47.533,0.500,0,1310336,11524928,143324,3305356,30233.903,14830.253,132.091,2889.998,2.001,60.042,3776,1993,1.940,1.310,1.260,2,0,1.001,0,0,12,6,0,11,2
01-09 20:14:05,42.498,8.250,47.748,1.250,0,1284476,11564044,143596,3291336,30610.776,15137.395,871.965,3339.866,11.000,41.998,3469,1658,1.940,1.310,1.260,2,0,2.000,0,0,12,4,0,11,0
01-09 20:14:06,36.853,15.189,44.821,1.743,0,1340368,11501576,146296,3295108,22453.547,9316.882,15.937,14737.288,0.996,1414.365,8961,9655,1.940,1.310,1.260,2,1,29.881,0,0,12,6,0,11,0
