"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","08 Jul 2026 08:27:12 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
08-07 08:27:12,,1077088,11790124,142136,3151160,,,,,,,1.600,1.430,1.090,4,0,,,,11,4,0,9,2
08-07 08:27:14,29.455,28.217,39.355,0.743,0,1088420,11767096,142796,3160504,45555.225,24910.229,368.307,316.823,6.931,13.861,5408,4133,1.710,1.450,1.100,3,0,136.630,0,0,11,4,0,9,2
08-07 08:27:15,28.072,25.315,45.867,0.251,0,1083104,11757156,143208,3173664,61038.612,34181.142,0,1363.476,0,31.079,4729,2459,1.710,1.450,1.100,3,0,132.337,0,0,11,4,0,9,2
08-07 08:27:16,30.450,26.456,40.933,0,0,1097096,11727768,143488,3187756,80136.151,610571.417,3.993,786.706,0.998,23.961,5407,2654,1.710,1.450,1.100,2,0,130.785,0,0,11,4,0,9,2
08-07 08:27:17,27.305,29.058,42.335,0.251,0,1080296,11733928,144260,3196220,46115.462,26222.577,88.177,17823.737,1.002,146.293,4857,2669,1.710,1.450,1.100,2,0,128.257,0,0,11,4,0,9,2
08-07 08:27:18,29.530,26.276,43.293,0.501,0,1076724,11727776,144992,3203708,60328.561,31143.263,216.217,1377.383,4.004,38.038,4466,2335,1.710,1.450,1.100,3,0,109.110,0,0,11,4,0,9,2
08-07 08:27:19,27.188,27.437,43.401,0.249,0,1082364,11698096,145744,3225188,60069.551,31132.763,331.242,1516.530,3.991,54.874,4574,2485,1.900,1.500,1.120,2,1,119.726,0,0,11,4,0,9,2
08-07 08:27:19,34.133,27.608,36.894,0.753,0,1079460,11690472,146372,3234168,45332.960,24409.283,449.756,1618.317,5.020,51.200,4990,4788,1.900,1.500,1.120,2,0,112.439,0,0,11,4,0,9,2
08-07 08:27:20,31.042,25.034,42.808,0.501,0,1020100,11762880,146720,3219844,46104.580,23207.501,592.805,761.033,6.008,26.035,4471,2728,1.900,1.500,1.120,5,1,80.109,0,0,11,2,0,9,0
