"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","22 Jul 2026 13:41:42 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
22-07 13:41:42,,1064124,11863036,139876,3094056,,,,,,,1.760,1.410,0.950,1,0,,,,13,8,0,9,2
22-07 13:41:43,17.901,24.366,55.693,0,0,1073052,11853736,139948,3094296,71382.484,41700.116,0,966.671,0,26.852,4708,3256,1.760,1.410,0.950,1,0,149.178,0,0,13,8,0,9,2
22-07 13:41:44,19.909,29.366,49.524,0,0,1071632,11837860,140036,3110900,234702.475,41654.184,0,1091.028,0,24.887,5055,2632,1.760,1.410,0.950,3,0,142.351,0,0,13,8,0,9,2
22-07 13:41:45,27.496,27.496,43.743,0.250,0,1085532,11814192,140336,3119512,45557.143,24100.373,0,1035.844,0,41.994,5130,2677,1.760,1.410,0.950,3,0,151.977,0,0,13,8,0,9,2
22-07 13:41:46,28.593,28.593,41.635,0,0,1083596,11805272,141088,3127792,87415.985,1143630.187,0,806.611,0,66.214,5757,3219,1.760,1.410,0.950,2,0,140.455,0,0,13,8,0,9,2
22-07 13:41:47,27.126,27.873,43.551,0,0,1075784,11797840,141508,3141032,44875.243,23793.435,0,7250.915,0,61.718,4785,2523,1.780,1.420,0.960,3,0,127.419,0,0,13,8,0,9,2
22-07 13:41:48,31.841,26.576,40.366,0.251,0,1084600,11782568,141728,3146856,60992.005,32368.876,0,878.521,0,22.063,5429,3690,1.780,1.420,0.960,4,0,116.334,0,0,13,8,0,9,2
22-07 13:41:49,32.379,26.401,39.850,0.249,0,1096736,11747996,142720,3165808,44785.949,22647.021,0,3702.109,0,310.834,4814,2656,1.780,1.420,0.960,3,0,78.705,0,0,13,8,0,9,2
22-07 13:41:50,28.092,27.340,43.392,0.251,0,1101276,11731520,143380,3175180,60824.401,30734.758,0,1617.302,0,48.158,4699,2497,1.780,1.420,0.960,3,0,124.408,0,0,13,8,0,9,2
22-07 13:41:51,36.289,26.278,36.539,0,0,1093104,11717868,144056,3194800,44882.734,23028.491,0,1313.397,0,42.045,5292,4435,1.780,1.420,0.960,2,0,74.079,0,0,13,8,0,9,2
22-07 13:41:52,36.266,27.572,35.024,0.248,0,1123460,11676124,144876,3233652,44400.891,22600.368,0,11998.683,0,79.488,5142,4228,1.790,1.430,0.960,2,0,69.552,0,0,14,8,0,9,2
22-07 13:41:53,22.926,18.391,57.441,1.260,0,1170788,11645184,144928,3312336,45765.312,23292.804,935.179,270.073,12.093,9.070,3887,2476,1.790,1.430,0.960,2,0,51.395,0,0,14,8,0,9,0
22-07 13:41:54,32.930,19.209,46.650,0.499,0,1221236,11594536,144932,3312524,61720.911,33410.498,15.966,19.957,0.998,4.989,4212,2222,1.790,1.430,0.960,3,0,78.831,0,0,14,8,0,9,0
22-07 13:41:55,32.074,10.775,56.381,0,0,1223788,11590784,144952,3313712,67397.164,36208.899,0,633.468,0,10.023,3399,1837,1.790,1.430,0.960,2,0,23.053,0,0,14,9,0,9,0
22-07 13:41:56,27.989,25.989,44.732,0,0,1197740,11610884,144984,3318720,61290.099,33318.463,0,1079.561,0,13.994,5088,2736,1.790,1.430,0.960,2,0,136.944,0,0,14,10,0,9,0
22-07 13:41:57,35.471,20.733,38.968,1.499,0,1212756,11594920,145104,3319420,45043.284,23750.640,251.795,9004.660,18.985,54.955,9314,12662,1.810,1.440,0.970,2,0,40.967,0,0,14,8,0,11,0
22-07 13:41:58,34.485,14.494,46.980,3.748,0,1242044,11560828,145276,3323244,44891.750,23843.775,2922.747,2466.942,175.925,2.999,3732,2095,1.810,1.440,0.970,2,0,8.996,0,0,14,8,0,11,0
22-07 13:41:59,41.331,14.869,40.323,0.252,0,1280676,11520816,145456,3324172,44456.111,22863.143,133.066,3201.646,2.016,15.121,10202,15212,1.810,1.440,0.970,2,0,6.048,0,0,14,8,0,11,0
22-07 13:42:00,36.256,14.155,47.182,1.490,0,1294556,11506452,145464,3324548,15496.649,7378.316,111.251,91.385,4.967,1.987,3263,1611,1.810,1.440,0.970,2,0,13.906,0,0,14,8,0,11,0
22-07 13:42:01,34.810,19.891,41.275,2.735,0,1296372,11503960,149584,3321540,29924.539,16318.859,15.913,27450.056,0.995,1621.145,11044,12950,1.810,1.440,0.970,3,0,15.913,0,0,14,10,0,11,0
22-07 13:42:02,38.498,18.749,36.748,3.750,0,1309984,11480020,155548,3325788,44402.203,22246.599,0,37757.621,0,2716.829,15464,19612,1.990,1.490,0.980,3,0,50.997,0,0,14,10,0,11,0
